id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
BN_00001,Thu Luyen hotel (Nhà Nghỉ Thu Luyến),Du lịch,khách sạn,21.333853,106.8500141,"Đường Quốc Lộ 279, Thị Trấn An Châu, Sơn Động, Bắc Giang, 26406",Sơn Động,Bắc Ninh,"Thu Luyen hotel (Nhà Nghỉ Thu Luyến) là khách sạn tại Sơn Động, Bắc Ninh.",Thu Luyen hotel (Nhà Nghỉ Thu Luyến) Du lịch khách sạn Sơn Động Bắc Ninh
BN_00002,Hotel,Du lịch,khách sạn,21.323811,106.8167188,"Nhà Nghỉ Thanh Hoa, Đường Quốc Lộ 31, An Bá, Sơn Động, Bắc Giang, 26419",Sơn Động,Bắc Ninh,"Hotel là khách sạn tại Sơn Động, Bắc Ninh.",Hotel Du lịch khách sạn Sơn Động Bắc Ninh
BN_00003,Hotel,Du lịch,khách sạn,21.3906556,106.7590082,"Đường Quốc Lộ 31, Biển Động, Lục Ngạn, Bắc Giang, 26512",Lục Ngạn,Bắc Ninh,"Hotel là khách sạn tại Lục Ngạn, Bắc Ninh.",Hotel Du lịch khách sạn Lục Ngạn Bắc Ninh
BN_00004,Dương Cua Studio,Du lịch,khách sạn,21.2898967,106.141941,"Nghĩa Trung, Việt Yên, Bắc Giang",Việt Yên,Bắc Ninh,"Dương Cua Studio là khách sạn tại Việt Yên, Bắc Ninh.",Dương Cua Studio Du lịch khách sạn Việt Yên Bắc Ninh
BN_00005,Nhà hàng Tây Bắc,Ẩm thực,nhà hàng,21.1514044,106.1546076,"Phố Mới, Quế Võ, Bắc Ninh",Quế Võ,Bắc Ninh,"Nhà hàng Tây Bắc là nhà hàng tại Quế Võ, Bắc Ninh.",Nhà hàng Tây Bắc Ẩm thực nhà hàng Quế Võ Bắc Ninh
BN_00006,Resort Phoenix,Du lịch,khách sạn,21.200944,106.0923894,"Ngõ 81 Thành Sơn, Đáp Cầu, Bắc Ninh",Bắc Ninh,Bắc Ninh,"Resort Phoenix là khách sạn tại Bắc Ninh, Bắc Ninh.",Resort Phoenix Du lịch khách sạn Bắc Ninh Bắc Ninh
BN_00007,Glory 2 Hotel,Du lịch,khách sạn,21.1779675,106.0675964,"34 Đường Ngọc Hân Công Chúa, Ninh Xá, Bắc Ninh, 16124",Bắc Ninh,Bắc Ninh,"Glory 2 Hotel là khách sạn tại Bắc Ninh, Bắc Ninh.",Glory 2 Hotel Du lịch khách sạn Bắc Ninh Bắc Ninh
BN_00008,Like Cafe,Ẩm thực,quán cà phê,21.0144246,106.2008802,"Tỉnh Lộ 280, Thứa, Lương Tài, Bắc Ninh, 16606",Lương Tài,Bắc Ninh,"Like Cafe là quán cà phê tại Lương Tài, Bắc Ninh.",Like Cafe Ẩm thực quán cà phê Lương Tài Bắc Ninh
BN_00009,International Hotel,Du lịch,khách sạn,21.1626645,106.0463124,"Quốc Lộ 18, Võ Cường, Bắc Ninh, 16118",Bắc Ninh,Bắc Ninh,"International Hotel là khách sạn tại Bắc Ninh, Bắc Ninh.",International Hotel Du lịch khách sạn Bắc Ninh Bắc Ninh
BN_00010,Nhà hàng sinh thái Phước Long,Ẩm thực,nhà hàng,21.2058463,105.9602745,"Tỉnh Lộ 295, Chờ, Yên Phong, Bắc Ninh, 16206",Yên Phong,Bắc Ninh,"Nhà hàng sinh thái Phước Long là nhà hàng tại Yên Phong, Bắc Ninh.",Nhà hàng sinh thái Phước Long Ẩm thực nhà hàng Yên Phong Bắc Ninh
