id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
DN_00001,CaPhe Thu Uyen,Ẩm thực,quán cà phê,16.0874373,108.1445387,"Cafe Nguyên Thảo, 14 Đường Phan Văn Định, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng, 50608",Đà Nẵng,Đà Nẵng,"CaPhe Thu Uyen là quán cà phê tại Đà Nẵng, Đà Nẵng.",CaPhe Thu Uyen Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00002,Cafe Win,Ẩm thực,quán cà phê,16.0746726,108.2187015,"Cơ Sở 2 Bún Chả Cá Hờn, 86 Đường Quang Trung, Thạch Thang, Hải Châu, Đà Nẵng, 50207",Đà Nẵng,Đà Nẵng,"Cafe Win là quán cà phê tại Đà Nẵng, Đà Nẵng.",Cafe Win Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00003,CafeKhanh Ly,Ẩm thực,quán cà phê,16.0627174,108.208943,"Cafe Khánh Ly, 123 Đường Phan Thanh, Thạc Gián, Thanh Khê, Đà Nẵng, 50312",Đà Nẵng,Đà Nẵng,"CafeKhanh Ly là quán cà phê tại Đà Nẵng, Đà Nẵng.",CafeKhanh Ly Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00004,ThanhBinh Coffee,Ẩm thực,quán cà phê,16.0347187,108.2446539,"Honda Trang, Đường Lê Văn Hiến, Ngũ Hành Sơn, Đà Nẵng, 50506",Đà Nẵng,Đà Nẵng,"ThanhBinh Coffee là quán cà phê tại Đà Nẵng, Đà Nẵng.",ThanhBinh Coffee Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00005,CaPhe Fantasy,Ẩm thực,quán cà phê,16.0632999,108.1601536,"Đường Nguyễn Khuyến, Hòa Khánh Nam, Liên Chiểu, Đà Nẵng, 50607",Đà Nẵng,Đà Nẵng,"CaPhe Fantasy là quán cà phê tại Đà Nẵng, Đà Nẵng.",CaPhe Fantasy Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00006,CaPhe Lang Tien,Ẩm thực,quán cà phê,16.0657433,108.2077628,"Gift Shop Cà Rốt 1, 18 Đường Phan Thanh, Thạc Gián, Thanh Khê, Đà Nẵng",Đà Nẵng,Đà Nẵng,"CaPhe Lang Tien là quán cà phê tại Đà Nẵng, Đà Nẵng.",CaPhe Lang Tien Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00007,KieuLien Coffee,Ẩm thực,quán cà phê,16.0786302,108.1477511,"Café Hà, 190 Đường Nguyễn Lương Bằng, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng, 50608",Đà Nẵng,Đà Nẵng,"KieuLien Coffee là quán cà phê tại Đà Nẵng, Đà Nẵng.",KieuLien Coffee Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00008,Cafe Truc Phuong,Ẩm thực,quán cà phê,16.0684586,108.1500026,"Café Trúc Phương, 45 Đường Ngô Văn Sở, Hòa Khánh Nam, Liên Chiểu, Đà Nẵng, 50607",Đà Nẵng,Đà Nẵng,"Cafe Truc Phuong là quán cà phê tại Đà Nẵng, Đà Nẵng.",Cafe Truc Phuong Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00009,Ca Phe 83,Ẩm thực,quán cà phê,16.0785765,108.2193388,"Đường Nguyễn Du, Thạch Thang, Hải Châu, Đà Nẵng, 50207",Đà Nẵng,Đà Nẵng,"Ca Phe 83 là quán cà phê tại Đà Nẵng, Đà Nẵng.",Ca Phe 83 Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00010,Cafe Dong Xanh,Ẩm thực,quán cà phê,16.0640577,108.2208466,"Đường Lê Hồng Phong, Phước Ninh, Hải Châu, Đà Nẵng, 50211",Đà Nẵng,Đà Nẵng,"Cafe Dong Xanh là quán cà phê tại Đà Nẵng, Đà Nẵng.",Cafe Dong Xanh Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00011,CafeTo Be,Ẩm thực,quán cà phê,16.0736841,108.2182886,"Đường Lê Thánh Tôn, Hải Châu 1, Hải Châu, Đà Nẵng, 50206",Đà Nẵng,Đà Nẵng,"CafeTo Be là quán cà phê tại Đà Nẵng, Đà Nẵng.",CafeTo Be Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00012,MuoiChau Coffee,Ẩm thực,quán cà phê,16.0021817,108.2670205,"Nón Massage, Đường Trường Sa, Hòa Hải, Ngũ Hành Sơn, Đà Nẵng, 50509",Đà Nẵng,Đà Nẵng,"MuoiChau Coffee là quán cà phê tại Đà Nẵng, Đà Nẵng.",MuoiChau Coffee Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00013,CaPhe Sao Mai,Ẩm thực,quán cà phê,16.0668568,108.1743586,"Đường Nguyễn Như Hạnh, Liên Chiểu, Đà Nẵng, 50606",Đà Nẵng,Đà Nẵng,"CaPhe Sao Mai là quán cà phê tại Đà Nẵng, Đà Nẵng.",CaPhe Sao Mai Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00014,MienThao Coffee,Ẩm thực,quán cà phê,16.0762311,108.2308433,"Cafe B&T, Đường Ngô Quyền, An Hải Bắc, Sơn Trà, Đà Nẵng, 50409",Đà Nẵng,Đà Nẵng,"MienThao Coffee là quán cà phê tại Đà Nẵng, Đà Nẵng.",MienThao Coffee Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
DN_00015,GmcCoffee,Ẩm thực,quán cà phê,16.0539382,108.2208037,"Café Thủy, 23 Đường Phan Thành Tài, Hòa Thuận Đông, Hải Châu, Đà Nẵng, 50215",Đà Nẵng,Đà Nẵng,"GmcCoffee là quán cà phê tại Đà Nẵng, Đà Nẵng.",GmcCoffee Ẩm thực quán cà phê Đà Nẵng Đà Nẵng
