id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
KH_00001,o 22-1116 Hon Ro,Du lịch,nhà khách/homestay,12.2011497,109.191563,"Đường Lưu Hữu Phước, Phước Đồng, Nha Trang, Khánh Hòa, 57132",Nha Trang,Khánh Hòa,"o 22-1116 Hon Ro là nhà khách/homestay tại Nha Trang, Khánh Hòa.",o 22-1116 Hon Ro Du lịch nhà khách/homestay Nha Trang Khánh Hòa
KH_00002,Whale Island Resort,Du lịch,khách sạn,12.6526238,109.3946382,South China Sea,,Khánh Hòa,"Whale Island Resort là khách sạn tại , Khánh Hòa.",Whale Island Resort Du lịch khách sạn  Khánh Hòa
KH_00003,Phu Ngoan,Du lịch,khách sạn,12.8348698,109.362075,"Đường Đèo Cổ Mã, Đại Lãnh, Vạn Ninh, Khánh Hòa, 57216",Vạn Ninh,Khánh Hòa,"Phu Ngoan là khách sạn tại Vạn Ninh, Khánh Hòa.",Phu Ngoan Du lịch khách sạn Vạn Ninh Khánh Hòa
KH_00004,Nhà Bảo Đại,Du lịch,địa điểm du lịch,12.2103078,109.2153658,"Vĩnh Nguyên, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Nhà Bảo Đại là địa điểm du lịch tại Nha Trang, Khánh Hòa.",Nhà Bảo Đại Du lịch địa điểm du lịch Nha Trang Khánh Hòa
KH_00005,Jungle Beach Resort,Du lịch,khách sạn,12.4316033,109.2864847,"Ninh Phước, Ninh Hòa, Khánh Hòa",Ninh Hòa,Khánh Hòa,"Jungle Beach Resort là khách sạn tại Ninh Hòa, Khánh Hòa.",Jungle Beach Resort Du lịch khách sạn Ninh Hòa Khánh Hòa
KH_00006,Truc Linh 2,Ẩm thực,nhà hàng,12.2356489,109.1945677,"Khách Sạn Nam Hùng, Lộc Thọ, Nha Trang, Khánh Hòa, 57106",Nha Trang,Khánh Hòa,"Truc Linh 2 là nhà hàng tại Nha Trang, Khánh Hòa.",Truc Linh 2 Ẩm thực nhà hàng Nha Trang Khánh Hòa
KH_00007,Good Morning Vietnam,Ẩm thực,nhà hàng,12.2355251,109.1949937,"Good Morning Viet Nam - Chào Buổi Sáng Việt Nam, 19B Đường Biệt Thự, Lộc Thọ, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Good Morning Vietnam là nhà hàng tại Nha Trang, Khánh Hòa.",Good Morning Vietnam Ẩm thực nhà hàng Nha Trang Khánh Hòa
KH_00008,Vinpearl Deluxe,Du lịch,khách sạn,12.2214496,109.2460806,"Vĩnh Nguyên, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Vinpearl Deluxe là khách sạn tại Nha Trang, Khánh Hòa.",Vinpearl Deluxe Du lịch khách sạn Nha Trang Khánh Hòa
KH_00009,Daimond Bay Resort,Du lịch,khách sạn,12.16676,109.1955786,"Đại Lộ Nguyễn Tất Thành, Phước Đồng, Nha Trang, Khánh Hòa, 57132",Nha Trang,Khánh Hòa,"Daimond Bay Resort là khách sạn tại Nha Trang, Khánh Hòa.",Daimond Bay Resort Du lịch khách sạn Nha Trang Khánh Hòa
KH_00010,Happy House,Du lịch,khách sạn,12.2350426,109.1967819,"13 Hẻm 64B Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa, 57106",Nha Trang,Khánh Hòa,"Happy House là khách sạn tại Nha Trang, Khánh Hòa.",Happy House Du lịch khách sạn Nha Trang Khánh Hòa
KH_00011,Min Bistro,Ẩm thực,quán cà phê,11.5690794,108.9964447,"Thanh Sơn, Phan Rang-Tháp Chàm, Ninh Thuận",Phan Rang-Tháp Chàm,Khánh Hòa,"Min Bistro là quán cà phê tại Phan Rang-Tháp Chàm, Khánh Hòa.",Min Bistro Ẩm thực quán cà phê Phan Rang-Tháp Chàm Khánh Hòa
KH_00012,Booze Cruise,Ẩm thực,quán bar,12.2332718,109.1947767,"Câu Lạc Bộ Rồng Xanh - Club Blue Dragon, 126 Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Booze Cruise là quán bar tại Nha Trang, Khánh Hòa.",Booze Cruise Ẩm thực quán bar Nha Trang Khánh Hòa
KH_00013,Green Peace,Du lịch,khách sạn,12.2333321,109.1947633,"Booze Cruise Bar & Grill, 110 Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Green Peace là khách sạn tại Nha Trang, Khánh Hòa.",Green Peace Du lịch khách sạn Nha Trang Khánh Hòa
KH_00014,Van Long,Du lịch,khách sạn,12.2338957,109.194625,"Ganesh Indian Restaurant, 82 Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Van Long là khách sạn tại Nha Trang, Khánh Hòa.",Van Long Du lịch khách sạn Nha Trang Khánh Hòa
KH_00015,Ganesh,Ẩm thực,nhà hàng,12.2338278,109.1946518,"Căn Hộ Cho Thuê Hoàng Yến, 88 Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Ganesh là nhà hàng tại Nha Trang, Khánh Hòa.",Ganesh Ẩm thực nhà hàng Nha Trang Khánh Hòa
KH_00016,Saigon,Du lịch,khách sạn,12.2357739,109.1940169,"Sài Gòn Hotel, 34 Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa, 57127",Nha Trang,Khánh Hòa,"Saigon là khách sạn tại Nha Trang, Khánh Hòa.",Saigon Du lịch khách sạn Nha Trang Khánh Hòa
KH_00017,Cuong Long,Du lịch,khách sạn,12.23428,109.1945153,"Blue Ocean Hotel Blo - Khách Sạn Đại Dương Xanh, 64A Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Cuong Long là khách sạn tại Nha Trang, Khánh Hòa.",Cuong Long Du lịch khách sạn Nha Trang Khánh Hòa
KH_00018,La Mancha,Ẩm thực,nhà hàng,12.2357683,109.1962187,"Kirin Restaurant, 1E Đường Biệt Thự, Lộc Thọ, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"La Mancha là nhà hàng tại Nha Trang, Khánh Hòa.",La Mancha Ẩm thực nhà hàng Nha Trang Khánh Hòa
KH_00019,Thang Long Nhatrang,Du lịch,khách sạn,12.2345891,109.1944401,"Thang Long Nha Trang Hotel, Khánh Hòa",,Khánh Hòa,"Thang Long Nhatrang là khách sạn tại , Khánh Hòa.",Thang Long Nhatrang Du lịch khách sạn  Khánh Hòa
KH_00020,Da Fernando,Ẩm thực,nhà hàng,12.233567,109.1947165,"Nha Trang City Apartments, 104 Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa, 57127",Nha Trang,Khánh Hòa,"Da Fernando là nhà hàng tại Nha Trang, Khánh Hòa.",Da Fernando Ẩm thực nhà hàng Nha Trang Khánh Hòa
KH_00021,Blue Ocean,Du lịch,khách sạn,12.2342208,109.1945392,"Ngân Hàng Kỹ Thương - Techcombank, Tân Lập, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Blue Ocean là khách sạn tại Nha Trang, Khánh Hòa.",Blue Ocean Du lịch khách sạn Nha Trang Khánh Hòa
KH_00022,Ciao Vietnam,Ẩm thực,nhà hàng,12.2340268,109.1945904,"Ciao Vietnam Italian Restaurant, 74 Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Ciao Vietnam là nhà hàng tại Nha Trang, Khánh Hòa.",Ciao Vietnam Ẩm thực nhà hàng Nha Trang Khánh Hòa
KH_00023,Echo and Luca,Ẩm thực,nhà hàng,12.2336589,109.1946922,"Nhà Hàng Da Fernando, 96 Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Echo and Luca là nhà hàng tại Nha Trang, Khánh Hòa.",Echo and Luca Ẩm thực nhà hàng Nha Trang Khánh Hòa
KH_00024,Hoang Thanh,Du lịch,khách sạn,12.2337506,109.1946707,"Căn Hộ Cho Thuê Hoàng Yến, 88 Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Hoang Thanh là khách sạn tại Nha Trang, Khánh Hòa.",Hoang Thanh Du lịch khách sạn Nha Trang Khánh Hòa
KH_00025,Lanterns,Ẩm thực,nhà hàng,12.2359834,109.1939793,"Nhà Thuốc Tư Nhân Kim Đính, 34N Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Lanterns là nhà hàng tại Nha Trang, Khánh Hòa.",Lanterns Ẩm thực nhà hàng Nha Trang Khánh Hòa
KH_00026,AP,Du lịch,khách sạn,12.2362286,109.1939303,"Botanic Hotel, 5A Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa, 57127",Nha Trang,Khánh Hòa,"AP là khách sạn tại Nha Trang, Khánh Hòa.",AP Du lịch khách sạn Nha Trang Khánh Hòa
KH_00027,Barcelona,Du lịch,khách sạn,12.2364231,109.1938898,"Nhà Nghỉ Ba Tư, 34G1 Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa,"Barcelona là khách sạn tại Nha Trang, Khánh Hòa.",Barcelona Du lịch khách sạn Nha Trang Khánh Hòa
KH_00028,The Summer,Du lịch,khách sạn,12.2364924,109.1938766,"Barcelona Hotel, 34E Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa, 57127",Nha Trang,Khánh Hòa,"The Summer là khách sạn tại Nha Trang, Khánh Hòa.",The Summer Du lịch khách sạn Nha Trang Khánh Hòa
KH_00029,C30 Glory,Du lịch,khách sạn,12.2375937,109.1935997,"Yoga, 47B1 Đường Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Khánh Hòa, 57127",Nha Trang,Khánh Hòa,"C30 Glory là khách sạn tại Nha Trang, Khánh Hòa.",C30 Glory Du lịch khách sạn Nha Trang Khánh Hòa
KH_00030,Let it be Cafe,Ẩm thực,quán cà phê,12.2392237,109.1923057,"Vinestate, 1 Đường Tô Hiến Thành, Tân Lập, Nha Trang, Khánh Hòa, 57127",Nha Trang,Khánh Hòa,"Let it be Cafe là quán cà phê tại Nha Trang, Khánh Hòa.",Let it be Cafe Ẩm thực quán cà phê Nha Trang Khánh Hòa
