id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
LC_00001,Restaurant small,Ẩm thực,nhà hàng,22.3150443,103.6623453,"Quốc Lộ 32, Bình Lư, Tam Đường, Lai Châu, 30207",Tam Đường,Lai Châu,"Restaurant small là nhà hàng tại Tam Đường, Lai Châu.",Restaurant small Ẩm thực nhà hàng Tam Đường Lai Châu
LC_00002,Hotel Hanoi,Du lịch,nhà khách/homestay,22.3994153,103.4592413,"Đường Lê Duẩn, Đoàn Kết, Lai Châu, 30109",Lai Châu,Lai Châu,"Hotel Hanoi là nhà khách/homestay tại Lai Châu, Lai Châu.",Hotel Hanoi Du lịch nhà khách/homestay Lai Châu Lai Châu
LC_00003,Nha Nghi Sign,Du lịch,nhà khách/homestay,22.3193539,103.6289056,"Quốc Lộ 4D, Tam Đường, Lai Châu, 30206",Tam Đường,Lai Châu,"Nha Nghi Sign là nhà khách/homestay tại Tam Đường, Lai Châu.",Nha Nghi Sign Du lịch nhà khách/homestay Tam Đường Lai Châu
LC_00004,Tien Hao Nha Nghi,Du lịch,nhà khách/homestay,22.3997001,103.4593476,"Đường Lê Duẩn, Đoàn Kết, Lai Châu, 30109",Lai Châu,Lai Châu,"Tien Hao Nha Nghi là nhà khách/homestay tại Lai Châu, Lai Châu.",Tien Hao Nha Nghi Du lịch nhà khách/homestay Lai Châu Lai Châu
LC_00005,Phuong Thanh hotel,Du lịch,khách sạn,22.3993061,103.4584178,"Đường Lê Duẩn, Đoàn Kết, Lai Châu, 30109",Lai Châu,Lai Châu,"Phuong Thanh hotel là khách sạn tại Lai Châu, Lai Châu.",Phuong Thanh hotel Du lịch khách sạn Lai Châu Lai Châu
LC_00006,Lan Anh Hotel2,Du lịch,khách sạn,22.5443629,103.2965313,"Quốc Lộ 4D, Phong Thổ, Lai Châu, 30306",Phong Thổ,Lai Châu,"Lan Anh Hotel2 là khách sạn tại Phong Thổ, Lai Châu.",Lan Anh Hotel2 Du lịch khách sạn Phong Thổ Lai Châu
LC_00007,Nha Nghi sign,Du lịch,nhà khách/homestay,22.4597131,103.1971603,"Quốc Lộ 12, Pa Tần, Sìn Hồ, Lai Châu, 30610",Sìn Hồ,Lai Châu,"Nha Nghi sign là nhà khách/homestay tại Sìn Hồ, Lai Châu.",Nha Nghi sign Du lịch nhà khách/homestay Sìn Hồ Lai Châu
LC_00008,Nha Nghi sign,Du lịch,nhà khách/homestay,22.4584214,103.1984048,"Quốc Lộ 12, Pa Tần, Sìn Hồ, Lai Châu, 30610",Sìn Hồ,Lai Châu,"Nha Nghi sign là nhà khách/homestay tại Sìn Hồ, Lai Châu.",Nha Nghi sign Du lịch nhà khách/homestay Sìn Hồ Lai Châu
LC_00009,Nha Nghi sign,Du lịch,nhà khách/homestay,22.1888856,103.1727329,"Quốc Lộ 12, Chăn Nưa, Sìn Hồ, Lai Châu, 30616",Sìn Hồ,Lai Châu,"Nha Nghi sign là nhà khách/homestay tại Sìn Hồ, Lai Châu.",Nha Nghi sign Du lịch nhà khách/homestay Sìn Hồ Lai Châu
LC_00010,Y Tý,Du lịch,địa điểm du lịch,22.4957675,103.1689194,"Pa Tần, Sìn Hồ, Lai Châu",Sìn Hồ,Lai Châu,"Y Tý là địa điểm du lịch tại Sìn Hồ, Lai Châu.",Y Tý Du lịch địa điểm du lịch Sìn Hồ Lai Châu
LC_00011,Putaleng Hotel,Du lịch,khách sạn,22.3218491,103.6229098,"Quốc Lộ 4D, Tam Đường, Lai Châu, 30206",Tam Đường,Lai Châu,"Putaleng Hotel là khách sạn tại Tam Đường, Lai Châu.",Putaleng Hotel Du lịch khách sạn Tam Đường Lai Châu
LC_00012,Bùi Sánh Homestay,Du lịch,nhà khách/homestay,22.353193,103.2484419,"Đường Tỉnh Lộ 128, Sìn Hồ, Lai Châu, 30606",Sìn Hồ,Lai Châu,"Bùi Sánh Homestay là nhà khách/homestay tại Sìn Hồ, Lai Châu.",Bùi Sánh Homestay Du lịch nhà khách/homestay Sìn Hồ Lai Châu
LC_00013,Truong Giang,Du lịch,khách sạn,21.9687781,103.8942402,"Quốc Lộ 32, Than Uyên, Lai Châu, 30806",Than Uyên,Lai Châu,"Truong Giang là khách sạn tại Than Uyên, Lai Châu.",Truong Giang Du lịch khách sạn Than Uyên Lai Châu
LC_00014,Pusamcap cave,Du lịch,địa điểm du lịch,22.3859416,103.4099796,"Đường Tỉnh Lộ 129, Sùng Phài, Lai Châu, 30108",Lai Châu,Lai Châu,"Pusamcap cave là địa điểm du lịch tại Lai Châu, Lai Châu.",Pusamcap cave Du lịch địa điểm du lịch Lai Châu Lai Châu
LC_00015,Ha Nhi,Du lịch,khách sạn,22.3891576,103.4846214,"Đông Phong, Lai Châu",Lai Châu,Lai Châu,"Ha Nhi là khách sạn tại Lai Châu, Lai Châu.",Ha Nhi Du lịch khách sạn Lai Châu Lai Châu
LC_00016,Jumong Quán,Ẩm thực,nhà hàng,22.3560646,103.2499084,"Đường Tỉnh Lộ 128, Sìn Hồ, Lai Châu, 30606",Sìn Hồ,Lai Châu,"Jumong Quán là nhà hàng tại Sìn Hồ, Lai Châu.",Jumong Quán Ẩm thực nhà hàng Sìn Hồ Lai Châu
LC_00017,Khách sạn Dung Phú,Du lịch,khách sạn,22.385173,102.8033594,"Tỉnh Lộ 127, Thị Trấn Mường Tè, Mường Tè, Lai Châu, 30406",Mường Tè,Lai Châu,"Khách sạn Dung Phú là khách sạn tại Mường Tè, Lai Châu.",Khách sạn Dung Phú Du lịch khách sạn Mường Tè Lai Châu
LC_00018,Karaoke & Coffe bar,Ẩm thực,quán cà phê,22.3795536,102.8231381,"Trạm Xăng Số 1, Tỉnh Lộ 127, Thị Trấn Mường Tè, Mường Tè, Lai Châu, 30406",Mường Tè,Lai Châu,"Karaoke & Coffe bar là quán cà phê tại Mường Tè, Lai Châu.",Karaoke & Coffe bar Ẩm thực quán cà phê Mường Tè Lai Châu
