id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
CM_00001,Khu căn cứ Tỉnh ủy Xẻo Đước,Khác,địa điểm,9.0016862,104.9206623,"Phú Mỹ, Phú Tân, Cà Mau",Phú Tân,Khu căn cứ Tỉnh ủy Xẻo Đước là địa điểm tại Phú Tân.,Khu căn cứ Tỉnh ủy Xẻo Đước Khác địa điểm Phú Tân Cà Mau
CM_00002,Khu vui chơi Hồ Nam,Du lịch,công viên,9.3035061,105.7325735,"Phường 1, Bạc Liêu",Bạc Liêu,Khu vui chơi Hồ Nam là công viên tại Bạc Liêu.,Khu vui chơi Hồ Nam Du lịch công viên Bạc Liêu Cà Mau
CM_00003,Nhà Mát,Du lịch,khách sạn,9.2041697,105.7443615,"Nhà Mát, Bạc Liêu",Bạc Liêu,Nhà Mát là khách sạn tại Bạc Liêu.,Nhà Mát Du lịch khách sạn Bạc Liêu Cà Mau
CM_00004,Bún bò cay ÁNH NGUYỆT,Ẩm thực,nhà hàng,9.2805764,105.7271213,"Coffee Blue Rose, Đường Cao Văn Lầu, Phường 5, Bạc Liêu, 97111",Bạc Liêu,Bún bò cay ÁNH NGUYỆT là nhà hàng tại Bạc Liêu.,Bún bò cay ÁNH NGUYỆT Ẩm thực nhà hàng Bạc Liêu Cà Mau
CM_00005,Bún Bò Cay ÁNH NGUYỆT,Ẩm thực,nhà hàng,9.2805343,105.7270863,"Đường Cao Văn Lầu, Phường 2, Bạc Liêu, 97110",Bạc Liêu,Bún Bò Cay ÁNH NGUYỆT là nhà hàng tại Bạc Liêu.,Bún Bò Cay ÁNH NGUYỆT Ẩm thực nhà hàng Bạc Liêu Cà Mau
CM_00006,Bánh Tầm Cari Cay,Ẩm thực,nhà hàng,9.1805078,105.147991,"26 Đường Nguyễn Hữu Lễ, Phường 2, Cà Mau, 98109",Cà Mau,Bánh Tầm Cari Cay là nhà hàng tại Cà Mau.,Bánh Tầm Cari Cay Ẩm thực nhà hàng Cà Mau Cà Mau
CM_00007,Triều Phát,Ẩm thực,nhà hàng,9.1825996,105.1478117,"Chi Cục Thi Hành Án Dân Sự Thành Phố Cà Mau, Đường Phan Đình Phùng, Phường 4, Cà Mau, 98111",Cà Mau,Triều Phát là nhà hàng tại Cà Mau.,Triều Phát Ẩm thực nhà hàng Cà Mau Cà Mau
CM_00008,Nhà Khách 276,Du lịch,nhà khách/homestay,9.185254,105.1389715,"Dịch Vụ Karaoke Gia Đình, 252 Đường Hoa Lư, Phường 9, Cà Mau, 98106",Cà Mau,Nhà Khách 276 là nhà khách/homestay tại Cà Mau.,Nhà Khách 276 Du lịch nhà khách/homestay Cà Mau Cà Mau
CM_00009,Gà Rán 28,Ẩm thực,nhà hàng,9.1771315,105.1492743,"Cửa Hàng Điện Ẽm, 34 Đường Ngô Quyền, Phường 7, Cà Mau, 98115",Cà Mau,Gà Rán 28 là nhà hàng tại Cà Mau.,Gà Rán 28 Ẩm thực nhà hàng Cà Mau Cà Mau
CM_00010,Khách Sạn Quốc Tế,Du lịch,khách sạn,9.1743769,105.1576934,"Studio Video Anh Lộc, 28 Đường Phan Ngọc Hiển, Phường 6, Cà Mau",Cà Mau,Khách Sạn Quốc Tế là khách sạn tại Cà Mau.,Khách Sạn Quốc Tế Du lịch khách sạn Cà Mau Cà Mau
CM_00011,Anh Nguyet hotel,Du lịch,khách sạn,9.1744469,105.1582233,"Quán Café Ách Cơ, Đường Phan Ngọc Hiển, Phường 6, Cà Mau, 98116",Cà Mau,Anh Nguyet hotel là khách sạn tại Cà Mau.,Anh Nguyet hotel Du lịch khách sạn Cà Mau Cà Mau
CM_00012,Dong Anh hotel,Du lịch,khách sạn,9.1787758,105.1556938,"Hủ Tiếu Châu Quảng, Đường Trần Hưng Đạo, Phường 5, Cà Mau, 98110",Cà Mau,Dong Anh hotel là khách sạn tại Cà Mau.,Dong Anh hotel Du lịch khách sạn Cà Mau Cà Mau
CM_00013,Nhà Nghĩ Hoàng Cung,Du lịch,khách sạn,9.1444814,105.1344392,"Đường Quốc Lộ 1, Lý Văn Lâm, Cà Mau, 98121",Cà Mau,Nhà Nghĩ Hoàng Cung là khách sạn tại Cà Mau.,Nhà Nghĩ Hoàng Cung Du lịch khách sạn Cà Mau Cà Mau
CM_00014,TrungLinh2011,Ẩm thực,quán cà phê,9.2710722,105.7270009,"Đường Ninh Bình, Phường 2, Bạc Liêu, 97110",Bạc Liêu,TrungLinh2011 là quán cà phê tại Bạc Liêu.,TrungLinh2011 Ẩm thực quán cà phê Bạc Liêu Cà Mau
CM_00015,Long Ty Hotel,Du lịch,khách sạn,9.1833679,105.1609419,"Quán Yaourt - Kem Cây, 39 Đường Tô Hiến Thành, Phường 5, Cà Mau, 98110",Cà Mau,Long Ty Hotel là khách sạn tại Cà Mau.,Long Ty Hotel Du lịch khách sạn Cà Mau Cà Mau
CM_00016,Lotteria,Ẩm thực,quán thức ăn nhanh,9.1789451,105.1557909,"Trung Tâm Bồi Dưỡng Văn Hóa Và Luyện Thi Đức Trí V, 29 Đường Trần Hưng Đạo, Phường 5, Cà Mau, 98110",Cà Mau,Lotteria là quán thức ăn nhanh tại Cà Mau.,Lotteria Ẩm thực quán thức ăn nhanh Cà Mau Cà Mau
CM_00017,Gossip,Ẩm thực,quán bar,9.1778008,105.1569308,"28 Đường Bùi Thị Trường, Phường 5, Cà Mau, 98110",Cà Mau,Gossip là quán bar tại Cà Mau.,Gossip Ẩm thực quán bar Cà Mau Cà Mau
