id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
DT_00001,Rạng Đông,Du lịch,khách sạn,10.3511302,106.3541516,"Đò, Phường 6, Mỹ Tho, Tiền Giang, 84119",Mỹ Tho,Rạng Đông là khách sạn tại Mỹ Tho.,Rạng Đông Du lịch khách sạn Mỹ Tho Đồng Tháp
DT_00002,Chợ Gò Công (mới),Du lịch,chợ truyền thống,10.3606458,106.6724185,"Đường Hai Bà Trưng, Phường 1, Gò Công, Tiền Giang, 84315",Gò Công,Chợ Gò Công (mới) là chợ truyền thống tại Gò Công.,Chợ Gò Công (mới) Du lịch chợ truyền thống Gò Công Đồng Tháp
DT_00003,Khảo Cổ Gò Thạnh,Khác,địa điểm,10.3902407,106.4594001,"ĐH 26, Tân Thuận Bình, Chợ Gạo, Tiền Giang, 84510",Chợ Gạo,Khảo Cổ Gò Thạnh là địa điểm tại Chợ Gạo.,Khảo Cổ Gò Thạnh Khác địa điểm Chợ Gạo Đồng Tháp
DT_00004,Chợ Gò Công,Du lịch,chợ truyền thống,10.3622504,106.673558,"59 Đường Bến Bạch Đằng, Phường 1, Gò Công, Tiền Giang, 84315",Gò Công,Chợ Gò Công là chợ truyền thống tại Gò Công.,Chợ Gò Công Du lịch chợ truyền thống Gò Công Đồng Tháp
DT_00005,Mộ Cổ Hoà Bình,Khác,địa điểm,10.3912335,106.5828804,"Đồng Thạnh, Gò Công Tây, Tiền Giang",Gò Công Tây,Mộ Cổ Hoà Bình là địa điểm tại Gò Công Tây.,Mộ Cổ Hoà Bình Khác địa điểm Gò Công Tây Đồng Tháp
DT_00006,Nhà Nghỉ Thành Đạt,Du lịch,khách sạn,10.2169917,105.6305369,"Vĩnh Thới, Lai Vung, Đồng Tháp",Lai Vung,Nhà Nghỉ Thành Đạt là khách sạn tại Lai Vung.,Nhà Nghỉ Thành Đạt Du lịch khách sạn Lai Vung Đồng Tháp
DT_00007,Bach Tung Vien,Ẩm thực,nhà hàng,10.3631979,106.3711892,"Nhà Hàng Bách Tùng Viên, 171B Đường Xóm Dầu, Phường 3, Mỹ Tho, Tiền Giang, 84107",Mỹ Tho,Bach Tung Vien là nhà hàng tại Mỹ Tho.,Bach Tung Vien Ẩm thực nhà hàng Mỹ Tho Đồng Tháp
DT_00008,Khách Sạn Sông Tiền Annex,Du lịch,khách sạn,10.3535044,106.3678455,"Chi Cục Tiêu Chuẩn Đo Lường Chất Lượng, Đường Trưng Trắc, Phường 1, Mỹ Tho, Tiền Giang, 84120",Mỹ Tho,Khách Sạn Sông Tiền Annex là khách sạn tại Mỹ Tho.,Khách Sạn Sông Tiền Annex Du lịch khách sạn Mỹ Tho Đồng Tháp
DT_00009,Chợ đêm sađéc,Du lịch,chợ truyền thống,10.2959243,105.7673144,"Quán Ngọc Lan, Đường Nguyễn Huệ, Phường 1, Sa Đéc, Đồng Tháp, 81806",Sa Đéc,Chợ đêm sađéc là chợ truyền thống tại Sa Đéc.,Chợ đêm sađéc Du lịch chợ truyền thống Sa Đéc Đồng Tháp
DT_00010,Cafe Hat,Ẩm thực,quán cà phê,10.3293588,106.029811,"Cái Bè, Tiền Giang",Cái Bè,Cafe Hat là quán cà phê tại Cái Bè.,Cafe Hat Ẩm thực quán cà phê Cái Bè Đồng Tháp
DT_00011,Floating Market Cai Be,Du lịch,chợ truyền thống,10.3327205,106.0353954,"Đông Hòa Hiệp, Cái Bè, Tiền Giang",Cái Bè,Floating Market Cai Be là chợ truyền thống tại Cái Bè.,Floating Market Cai Be Du lịch chợ truyền thống Cái Bè Đồng Tháp
DT_00012,Di Tích Lịch Sử Rạch Gầm Xoài Mút,Du lịch,công viên,10.3250581,106.2479211,"Đường Tỉnh Lộ 864, Kim Sơn, Châu Thành, Tiền Giang, 84627",Châu Thành,Di Tích Lịch Sử Rạch Gầm Xoài Mút là công viên tại Châu Thành.,Di Tích Lịch Sử Rạch Gầm Xoài Mút Du lịch công viên Châu Thành Đồng Tháp
DT_00013,Nhà tưởng niệm Anh Hùng Liệt Sĩ,Khác,địa điểm,10.3550526,106.3603521,"Nhà Tưởng niệm Liệt sĩ thành phố Mỹ Tho, Đường Lý Thường Kiệt, Phường 4, Mỹ Tho, Tiền Giang, 84114",Mỹ Tho,Nhà tưởng niệm Anh Hùng Liệt Sĩ là địa điểm tại Mỹ Tho.,Nhà tưởng niệm Anh Hùng Liệt Sĩ Khác địa điểm Mỹ Tho Đồng Tháp
DT_00014,M Hotel,Du lịch,khách sạn,10.357409,106.366925,"Cửa Hàng Tân Mỹ Hóa Lan Khanh, 40 Đường Lê Văn Duyệt, Phường 1, Mỹ Tho, Tiền Giang, 84120",Mỹ Tho,M Hotel là khách sạn tại Mỹ Tho.,M Hotel Du lịch khách sạn Mỹ Tho Đồng Tháp
DT_00015,Nhà Hàng Quê Hương,Ẩm thực,nhà hàng,10.3546225,106.3676103,"Trung Tâm Thể Dục Thể Thao Thành Phố Mỹ Tho - Câu Lạc Bộ Bóng Bàn, 3 Đường Lãnh Binh Cẩn, Phường 1, Mỹ Tho, Tiền Giang, 84120",Mỹ Tho,Nhà Hàng Quê Hương là nhà hàng tại Mỹ Tho.,Nhà Hàng Quê Hương Ẩm thực nhà hàng Mỹ Tho Đồng Tháp
DT_00016,Cafe Các Các,Ẩm thực,quán cà phê,10.3546455,106.3615365,"Cafe Kim Cương, Đường Rạch Gầm, Phường 1, Mỹ Tho, Tiền Giang, 84120",Mỹ Tho,Cafe Các Các là quán cà phê tại Mỹ Tho.,Cafe Các Các Ẩm thực quán cà phê Mỹ Tho Đồng Tháp
DT_00017,Cà phê xay Bluerose,Ẩm thực,quán cà phê,10.3580193,106.3644666,"Đường Lê Đại Hành, Phường 1, Mỹ Tho, Tiền Giang, 84120",Mỹ Tho,Cà phê xay Bluerose là quán cà phê tại Mỹ Tho.,Cà phê xay Bluerose Ẩm thực quán cà phê Mỹ Tho Đồng Tháp
DT_00018,Socola,Ẩm thực,quán cà phê,10.3580309,106.3645347,"Đường Lê Đại Hành, Phường 1, Mỹ Tho, Tiền Giang, 84120",Mỹ Tho,Socola là quán cà phê tại Mỹ Tho.,Socola Ẩm thực quán cà phê Mỹ Tho Đồng Tháp
DT_00019,Socola,Ẩm thực,quán cà phê,10.3565227,106.3567078,"15/4 Đường Trần Hưng Đạo, Phường 4, Mỹ Tho, Tiền Giang, 84119",Mỹ Tho,Socola là quán cà phê tại Mỹ Tho.,Socola Ẩm thực quán cà phê Mỹ Tho Đồng Tháp
DT_00020,Ngã 3 Thanh Bình,Du lịch,công viên,10.55441,105.4972833,"Đường Võ Văn Kiệt, Thanh Bình, Đồng Tháp, 81606",Thanh Bình,Ngã 3 Thanh Bình là công viên tại Thanh Bình.,Ngã 3 Thanh Bình Du lịch công viên Thanh Bình Đồng Tháp
