id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
NB_00001,Kinh Do Hotel,Du lịch,khách sạn,20.2550965,105.9733635,"Khách Sạn Kinh Đô, 18 Đường Phan Đình Phùng, Vân Giang, Ninh Bình",Ninh Bình,Kinh Do Hotel là khách sạn tại Ninh Bình.,Kinh Do Hotel Du lịch khách sạn Ninh Bình Ninh Bình
NB_00002,Thien Huống Dong,Khác,địa điểm,20.2236497,105.9314843,"Ninh Hải, Hoa Lư, Ninh Bình",Hoa Lư,Thien Huống Dong là địa điểm tại Hoa Lư.,Thien Huống Dong Khác địa điểm Hoa Lư Ninh Bình
NB_00003,Xua và Nay,Ẩm thực,quán cà phê,20.2553944,105.9739642,"Đường Phan Đình Phùng, Vân Giang, Ninh Bình, 08107",Ninh Bình,Xua và Nay là quán cà phê tại Ninh Bình.,Xua và Nay Ẩm thực quán cà phê Ninh Bình Ninh Bình
NB_00004,Thanh Binh,Du lịch,khách sạn,20.2565991,105.9709334,"Hotel Thanh Bình, 31 Đường Lương Văn Tuỵ, Phúc Thành, Ninh Bình, 08117",Ninh Bình,Thanh Binh là khách sạn tại Ninh Bình.,Thanh Binh Du lịch khách sạn Ninh Bình Ninh Bình
NB_00005,Chợ Đục Đá,Du lịch,chợ truyền thống,20.5914536,105.9270085,"Đường Quốc Lộ 1, Tiên Tân, Phủ Lý, Hà Nam, 18110",Phủ Lý,Chợ Đục Đá là chợ truyền thống tại Phủ Lý.,Chợ Đục Đá Du lịch chợ truyền thống Phủ Lý Ninh Bình
NB_00006,Tượng TBT Trường Chinh,Khác,địa điểm,20.2922717,106.3327771,"Đường Tỉnh Lộ 489, Xuân Trường, Nam Định, 07706",Xuân Trường,Tượng TBT Trường Chinh là địa điểm tại Xuân Trường.,Tượng TBT Trường Chinh Khác địa điểm Xuân Trường Ninh Bình
NB_00007,Com Pho,Ẩm thực,nhà hàng,20.216674,105.9382638,"Tam Cốc Bar Cafe, Tỉnh Lộ 491C, Ninh Hải, Hoa Lư, Ninh Bình, 08213",Hoa Lư,Com Pho là nhà hàng tại Hoa Lư.,Com Pho Ẩm thực nhà hàng Hoa Lư Ninh Bình
NB_00008,Cuc Phuong National Park Guesthouse,Du lịch,nhà nghỉ,20.2500784,105.7145055,"Cúc Phương, Nho Quan, Ninh Bình",Nho Quan,Cuc Phuong National Park Guesthouse là nhà nghỉ tại Nho Quan.,Cuc Phuong National Park Guesthouse Du lịch nhà nghỉ Nho Quan Ninh Bình
NB_00009,Chợ Quang Thiện,Du lịch,chợ truyền thống,20.1005657,106.1080623,"Đường Quốc Lộ 10, Quang Thiện, Kim Sơn, Ninh Bình, 08708",Kim Sơn,Chợ Quang Thiện là chợ truyền thống tại Kim Sơn.,Chợ Quang Thiện Du lịch chợ truyền thống Kim Sơn Ninh Bình
NB_00010,Chợ Quy Hậu,Du lịch,chợ truyền thống,20.1043537,106.1167869,"Đường Quốc Lộ 10, Hùng Tiến, Kim Sơn, Ninh Bình, 08707",Kim Sơn,Chợ Quy Hậu là chợ truyền thống tại Kim Sơn.,Chợ Quy Hậu Du lịch chợ truyền thống Kim Sơn Ninh Bình
