id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
SL_00001,Sunrise Hotel,Du lịch,khách sạn,21.3333832,103.903894,"Đường Điện Biên, Tô Hiệu, Sơn La, 34112",Sơn La,Sunrise Hotel là khách sạn tại Sơn La.,Sunrise Hotel Du lịch khách sạn Sơn La Sơn La
SL_00002,Nga Nghi sign,Du lịch,nhà khách/homestay,21.5385473,103.6231021,"Đường Quốc Lộ 6, Phổng Lái, Thuận Châu, Sơn La, 34317",Thuận Châu,Nga Nghi sign là nhà khách/homestay tại Thuận Châu.,Nga Nghi sign Du lịch nhà khách/homestay Thuận Châu Sơn La
SL_00003,Nga Nghi sign,Du lịch,nhà khách/homestay,21.5375494,103.6306019,"Đường Quốc Lộ 6, Phổng Lái, Thuận Châu, Sơn La, 34317",Thuận Châu,Nga Nghi sign là nhà khách/homestay tại Thuận Châu.,Nga Nghi sign Du lịch nhà khách/homestay Thuận Châu Sơn La
SL_00004,Nga Nghi sign,Du lịch,nhà khách/homestay,21.4372665,103.687311,"Đường Hai Mươi Mốt Tháng Mười Một, Chiềng Ly, Thuận Châu, Sơn La, 34315",Thuận Châu,Nga Nghi sign là nhà khách/homestay tại Thuận Châu.,Nga Nghi sign Du lịch nhà khách/homestay Thuận Châu Sơn La
SL_00005,Mai Ly,Ẩm thực,nhà hàng,21.3340545,103.9047217,"Chiềng Lề, Sơn La",Sơn La,Mai Ly là nhà hàng tại Sơn La.,Mai Ly Ẩm thực nhà hàng Sơn La Sơn La
SL_00006,Cong Doan Hotel,Du lịch,khách sạn,21.3348363,103.9047528,"Chiềng Lề, Sơn La",Sơn La,Cong Doan Hotel là khách sạn tại Sơn La.,Cong Doan Hotel Du lịch khách sạn Sơn La Sơn La
SL_00007,Huong Sen Yen Chau,Du lịch,nhà khách/homestay,21.0459468,104.3004115,"Khách Sạn Hương Sen, Yên Châu, Sơn La, 34656",Yên Châu,Huong Sen Yen Chau là nhà khách/homestay tại Yên Châu.,Huong Sen Yen Chau Du lịch nhà khách/homestay Yên Châu Sơn La
SL_00008,Huong Duong Nga Nghi,Du lịch,nhà khách/homestay,21.0484743,104.3041563,"Đường Quốc Lộ 6, Yên Châu, Sơn La, 34656",Yên Châu,Huong Duong Nga Nghi là nhà khách/homestay tại Yên Châu.,Huong Duong Nga Nghi Du lịch nhà khách/homestay Yên Châu Sơn La
SL_00009,Nga Nghi sign,Du lịch,nhà khách/homestay,20.8643257,104.5960455,"Khách Sạn Sao Xanh, Đường Nguyễn Lương Bằng, Mộc Châu, Sơn La, 34706",Mộc Châu,Nga Nghi sign là nhà khách/homestay tại Mộc Châu.,Nga Nghi sign Du lịch nhà khách/homestay Mộc Châu Sơn La
SL_00010,Huong Sen Hotel,Du lịch,khách sạn,20.8468012,104.6413299,"Đường Trần Huy Liệu, Mộc Châu, Sơn La, 34706",Mộc Châu,Huong Sen Hotel là khách sạn tại Mộc Châu.,Huong Sen Hotel Du lịch khách sạn Mộc Châu Sơn La
