id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
TQ_00001,Mai Son Hotel,Du lịch,khách sạn,21.8122283,105.2102736,"Đường Lý Thái Tổ, Tân Quang, Tuyên Quang, 22113",Tuyên Quang,Mai Son Hotel là khách sạn tại Tuyên Quang.,Mai Son Hotel Du lịch khách sạn Tuyên Quang Tuyên Quang
TQ_00002,Cafe Loan Sáng,Ẩm thực,quán cà phê,22.6647774,104.9872105,"Đường Quốc Lộ 2, Vị Xuyên, Hà Giang, 20206",Vị Xuyên,Cafe Loan Sáng là quán cà phê tại Vị Xuyên.,Cafe Loan Sáng Ẩm thực quán cà phê Vị Xuyên Tuyên Quang
TQ_00003,Thien Huong,Du lịch,khách sạn,23.2778108,105.3611909,"Đường Ba Tháng Hai, Đồng Văn, Hà Giang, 20506",Đồng Văn,Thien Huong là khách sạn tại Đồng Văn.,Thien Huong Du lịch khách sạn Đồng Văn Tuyên Quang
TQ_00004,Thai Thinh Hotel,Du lịch,khách sạn,23.2782247,105.3606961,"Đường Ba Tháng Hai, Đồng Văn, Hà Giang, 20506",Đồng Văn,Thai Thinh Hotel là khách sạn tại Đồng Văn.,Thai Thinh Hotel Du lịch khách sạn Đồng Văn Tuyên Quang
TQ_00005,Yen Minh Nha Nghi,Du lịch,khách sạn,23.1176253,105.1428393,"Quốc Lộ 4C, Yên Minh, Hà Giang, 20306",Yên Minh,Yen Minh Nha Nghi là khách sạn tại Yên Minh.,Yen Minh Nha Nghi Du lịch khách sạn Yên Minh Tuyên Quang
TQ_00006,Thao Nguyen,Du lịch,khách sạn,23.1183445,105.1410416,"Hotel Thảo Nguyên, 140 Quốc Lộ 4C, Yên Minh, Hà Giang, 20306",Yên Minh,Thao Nguyen là khách sạn tại Yên Minh.,Thao Nguyen Du lịch khách sạn Yên Minh Tuyên Quang
TQ_00007,Market,Du lịch,chợ truyền thống,23.0658884,104.9903862,"Chợ Quản Bạ, Tam Sơn, Quản Bạ, Hà Giang, 20356",Quản Bạ,Market là chợ truyền thống tại Quản Bạ.,Market Du lịch chợ truyền thống Quản Bạ Tuyên Quang
TQ_00008,Nui Doi Nha Nghi,Du lịch,khách sạn,23.0650236,104.9925767,"Cafe-Karaoke Duy Thành, 128 Đường Trần Hưng Đạo, Tam Sơn, Quản Bạ, Hà Giang, 20356",Quản Bạ,Nui Doi Nha Nghi là khách sạn tại Quản Bạ.,Nui Doi Nha Nghi Du lịch khách sạn Quản Bạ Tuyên Quang
TQ_00009,Cao Nguyen Hotel,Du lịch,khách sạn,22.8310988,104.9871222,"Đại Lý Gạo Hải Phong, 47 Đường Lâm Đồng, Trần Phú, Hà Giang, 20106",Hà Giang,Cao Nguyen Hotel là khách sạn tại Hà Giang.,Cao Nguyen Hotel Du lịch khách sạn Hà Giang Tuyên Quang
TQ_00010,Ngoc Bich Nha Nghi,Du lịch,nhà khách/homestay,22.4903777,104.8743193,"Nhà Nghỉ Ngọc Bích, Quốc Lộ 2, Tân Quang, Bắc Quang, Hà Giang, 20812",Bắc Quang,Ngoc Bich Nha Nghi là nhà khách/homestay tại Bắc Quang.,Ngoc Bich Nha Nghi Du lịch nhà khách/homestay Bắc Quang Tuyên Quang
TQ_00011,Vinh Ha Hotel,Du lịch,nhà khách/homestay,22.4162692,104.8073777,"Quốc Lộ 2, Việt Quang, Bắc Quang, Hà Giang, 20806",Bắc Quang,Vinh Ha Hotel là nhà khách/homestay tại Bắc Quang.,Vinh Ha Hotel Du lịch nhà khách/homestay Bắc Quang Tuyên Quang
TQ_00012,Vinh Ha Hotel2,Du lịch,nhà khách/homestay,22.4153615,104.8072007,"Quốc Lộ 2, Việt Quang, Bắc Quang, Hà Giang, 20806",Bắc Quang,Vinh Ha Hotel2 là nhà khách/homestay tại Bắc Quang.,Vinh Ha Hotel2 Du lịch nhà khách/homestay Bắc Quang Tuyên Quang
TQ_00013,Hung Van Hotel,Du lịch,khách sạn,22.4151341,104.8080118,"Quốc Lộ 2, Việt Quang, Bắc Quang, Hà Giang, 20806",Bắc Quang,Hung Van Hotel là khách sạn tại Bắc Quang.,Hung Van Hotel Du lịch khách sạn Bắc Quang Tuyên Quang
TQ_00014,Hung Van Restaurant,Ẩm thực,nhà hàng,22.4152526,104.8078874,"Quốc Lộ 2, Việt Quang, Bắc Quang, Hà Giang, 20806",Bắc Quang,Hung Van Restaurant là nhà hàng tại Bắc Quang.,Hung Van Restaurant Ẩm thực nhà hàng Bắc Quang Tuyên Quang
TQ_00015,Na Ma,Du lịch,khách sạn,23.1199682,105.1380824,"Hotel Nà Mạ, Đường Trần Hưng Đạo, Yên Minh, Hà Giang, 20306",Yên Minh,Na Ma là khách sạn tại Yên Minh.,Na Ma Du lịch khách sạn Yên Minh Tuyên Quang
TQ_00016,Chuyen Duc,Du lịch,nhà nghỉ,23.1198988,105.1378088,"Đường Trần Hưng Đạo, Yên Minh, Hà Giang, 20306",Yên Minh,Chuyen Duc là nhà nghỉ tại Yên Minh.,Chuyen Duc Du lịch nhà nghỉ Yên Minh Tuyên Quang
TQ_00017,Pho Cao,Du lịch,chợ truyền thống,23.186326,105.1973104,"Quốc Lộ 4C, Phố Cáo, Đồng Văn, Hà Giang, 20514",Đồng Văn,Pho Cao là chợ truyền thống tại Đồng Văn.,Pho Cao Du lịch chợ truyền thống Đồng Văn Tuyên Quang
TQ_00018,Binh An motel,Du lịch,nhà khách/homestay,23.2772941,105.3596592,"Nhà Nghỉ Bình An, Quốc Lộ 4C, Đồng Văn, Hà Giang, 20506",Đồng Văn,Binh An motel là nhà khách/homestay tại Đồng Văn.,Binh An motel Du lịch nhà khách/homestay Đồng Văn Tuyên Quang
TQ_00019,Golden Stone Hotel,Du lịch,khách sạn,22.8213698,104.9844982,"Đường Nguyễn Thái Học, Minh Khai, Hà Giang, 20111",Hà Giang,Golden Stone Hotel là khách sạn tại Hà Giang.,Golden Stone Hotel Du lịch khách sạn Hà Giang Tuyên Quang
TQ_00020,Local market,Du lịch,chợ truyền thống,22.8197816,104.9872929,"Cửa Hàng Thời Trang Nữ Quý Giang, 54 Đường Võ Thị Sáu, Minh Khai, Hà Giang, 20111",Hà Giang,Local market là chợ truyền thống tại Hà Giang.,Local market Du lịch chợ truyền thống Hà Giang Tuyên Quang
TQ_00021,Truong Xuan Ecolodge,Du lịch,khách sạn,22.848851,105.0102607,"Đường Quốc Lộ 4C, Quang Trung, Hà Giang, 20109",Hà Giang,Truong Xuan Ecolodge là khách sạn tại Hà Giang.,Truong Xuan Ecolodge Du lịch khách sạn Hà Giang Tuyên Quang
TQ_00022,Xuan Thu Guesthouse,Du lịch,nhà khách/homestay,23.2773978,105.3604341,"Đường Ba Tháng Hai, Đồng Văn, Hà Giang, 20506",Đồng Văn,Xuan Thu Guesthouse là nhà khách/homestay tại Đồng Văn.,Xuan Thu Guesthouse Du lịch nhà khách/homestay Đồng Văn Tuyên Quang
TQ_00023,Vegan Food in Đồng Văn - Good Vibes - the 27 club,Ẩm thực,nhà hàng,23.2773185,105.3602632,"Đường Ba Tháng Hai, Đồng Văn, Hà Giang, 20506",Đồng Văn,Vegan Food in Đồng Văn - Good Vibes - the 27 club là nhà hàng tại Đồng Văn.,Vegan Food in Đồng Văn - Good Vibes - the 27 club Ẩm thực nhà hàng Đồng Văn Tuyên Quang
TQ_00024,truong xuan resort,Du lịch,khách sạn,22.848221,105.0122642,"Quang Trung, Hà Giang",Hà Giang,truong xuan resort là khách sạn tại Hà Giang.,truong xuan resort Du lịch khách sạn Hà Giang Tuyên Quang
