id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
DL_00001,Hoang Lo,Du lịch,khách sạn,12.6823765,108.0544849,"227 Đường Nguyễn Công Trứ, Buôn Ma Thuột, Đắk Lắk, 63107",Buôn Ma Thuột,Đắk Lắk,"Hoang Lo là khách sạn tại Buôn Ma Thuột, Đắk Lắk.",Hoang Lo Du lịch khách sạn Buôn Ma Thuột Đắk Lắk
DL_00002,Long Beach,Du lịch,khách sạn,13.1000448,109.3183724,"A20 Đường Độc Lập, Tuy Hòa, Phú Yên, 56118",Tuy Hòa,Đắk Lắk,"Long Beach là khách sạn tại Tuy Hòa, Đắk Lắk.",Long Beach Du lịch khách sạn Tuy Hòa Đắk Lắk
DL_00003,Chợ Phường 7,Du lịch,chợ truyền thống,13.1023529,109.3118133,"Đường Lê Hồng Phong, Tuy Hòa, Phú Yên, 56118",Tuy Hòa,Đắk Lắk,"Chợ Phường 7 là chợ truyền thống tại Tuy Hòa, Đắk Lắk.",Chợ Phường 7 Du lịch chợ truyền thống Tuy Hòa Đắk Lắk
DL_00004,Khu Du Lịch Ea Nhái,Du lịch,địa điểm du lịch,12.7185708,108.2079297,"Ea Knuếc, Krông Păk, Đắk Lắk",Krông Păk,Đắk Lắk,"Khu Du Lịch Ea Nhái là địa điểm du lịch tại Krông Păk, Đắk Lắk.",Khu Du Lịch Ea Nhái Du lịch địa điểm du lịch Krông Păk Đắk Lắk
DL_00005,Damsan Hotel,Du lịch,khách sạn,12.6799365,108.0534407,"Đường Nguyễn Công Trứ, Buôn Ma Thuột, Đắk Lắk, 63107",Buôn Ma Thuột,Đắk Lắk,"Damsan Hotel là khách sạn tại Buôn Ma Thuột, Đắk Lắk.",Damsan Hotel Du lịch khách sạn Buôn Ma Thuột Đắk Lắk
DL_00006,Eden Hotel,Du lịch,khách sạn,12.6807321,108.0540371,"216 Đường Nguyễn Công Trứ, Buôn Ma Thuột, Đắk Lắk, 63107",Buôn Ma Thuột,Đắk Lắk,"Eden Hotel là khách sạn tại Buôn Ma Thuột, Đắk Lắk.",Eden Hotel Du lịch khách sạn Buôn Ma Thuột Đắk Lắk
DL_00007,Phở Cồ Cố,Ẩm thực,nhà hàng,13.0897467,109.3097097,"Hiệu Kính Thuốc Số 1, 49 Đường Duy Tân, Phường 4, Tuy Hòa, Phú Yên, 56112",Tuy Hòa,Đắk Lắk,"Phở Cồ Cố là nhà hàng tại Tuy Hòa, Đắk Lắk.",Phở Cồ Cố Ẩm thực nhà hàng Tuy Hòa Đắk Lắk
DL_00008,Khách sạn Bạch Mã,Du lịch,khách sạn,12.6842373,108.04478,"Massage, 9-11 Đường Nguyễn Đức Cảnh, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk, 63106",Buôn Ma Thuột,Đắk Lắk,"Khách sạn Bạch Mã là khách sạn tại Buôn Ma Thuột, Đắk Lắk.",Khách sạn Bạch Mã Du lịch khách sạn Buôn Ma Thuột Đắk Lắk
DL_00009,Aimeê Coffee,Ẩm thực,quán cà phê,12.6879769,108.0532582,"Đường Y Bih Alêo, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, 63111",Buôn Ma Thuột,Đắk Lắk,"Aimeê Coffee là quán cà phê tại Buôn Ma Thuột, Đắk Lắk.",Aimeê Coffee Ẩm thực quán cà phê Buôn Ma Thuột Đắk Lắk
DL_00010,Cà Phê Windows,Ẩm thực,quán cà phê,12.6880763,108.0537774,"Windows Coffee, Đường Tú Xương, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, 63111",Buôn Ma Thuột,Đắk Lắk,"Cà Phê Windows là quán cà phê tại Buôn Ma Thuột, Đắk Lắk.",Cà Phê Windows Ẩm thực quán cà phê Buôn Ma Thuột Đắk Lắk
