id,name,domain,category_vi,latitude,longitude,address,district,province,description,search_text
HN_00001,Cửa Hàng Bò Nầm Nướng,Ẩm thực,khu ẩm thực,21.0390983,105.8480778,"Shop Đồng Khởi, 34 Phố Hàng Giấy, Hà Nội Old Quarter, Đồng Xuân, Hoàn Kiếm, Hà Nội, 11009",Hà Nội,Hà Nội,"Cửa Hàng Bò Nầm Nướng là khu ẩm thực tại Hà Nội, Hà Nội.",Cửa Hàng Bò Nầm Nướng Ẩm thực khu ẩm thực Hà Nội Hà Nội
HN_00002,Cửa Hàng Bánh Tôm Hồ Tây,Ẩm thực,nhà hàng,21.0473212,105.8376261,"ATM - Ngân Hàng Đông Á - DongA Bank, Đường Thanh Niên, Trúc Bạch, Ba Đình, Hà Nội, 11117",Hà Nội,Hà Nội,"Cửa Hàng Bánh Tôm Hồ Tây là nhà hàng tại Hà Nội, Hà Nội.",Cửa Hàng Bánh Tôm Hồ Tây Ẩm thực nhà hàng Hà Nội Hà Nội
HN_00003,Khách Sạn Đức Thái,Du lịch,khách sạn,21.0340035,105.8471444,"95A Phố Hàng Gà, Hà Nội Old Quarter, Hàng Bồ, Hoàn Kiếm, Hà Nội, 11014",Hà Nội,Hà Nội,"Khách Sạn Đức Thái là khách sạn tại Hà Nội, Hà Nội.",Khách Sạn Đức Thái Du lịch khách sạn Hà Nội Hà Nội
HN_00004,Cà Phê Cây Bàng Đổ,Ẩm thực,quán cà phê,21.0273274,105.8220368,"Coffee-Fast Food Cây Liễu, 115D1 Phố Trần Huy Liệu, Giảng Võ, Ba Đình, Hà Nội, 11110",Hà Nội,Hà Nội,"Cà Phê Cây Bàng Đổ là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Cây Bàng Đổ Ẩm thực quán cà phê Hà Nội Hà Nội
HN_00005,Cà Phê Kafa,Ẩm thực,quán cà phê,21.0378611,105.8010007,"An Bình Auto, 118 Đường Nguyễn Khánh Toàn, Cầu Giấy, Hà Nội",Hà Nội,Hà Nội,"Cà Phê Kafa là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Kafa Ẩm thực quán cà phê Hà Nội Hà Nội
HN_00006,Nhà Hàng Chay Phương Nam,Ẩm thực,nhà hàng,21.0222319,105.84695,"Atm Shb, 81 Phố Trần Hưng Đạo, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội, 11019",Hà Nội,Hà Nội,"Nhà Hàng Chay Phương Nam là nhà hàng tại Hà Nội, Hà Nội.",Nhà Hàng Chay Phương Nam Ẩm thực nhà hàng Hà Nội Hà Nội
HN_00007,Nhà hàng Nam Phương,Ẩm thực,nhà hàng,21.0217552,105.8563856,"Cafe Winner, Phố Lý Thường Kiệt, Phan Chu Trinh, Hoàn Kiếm, Hà Nội, 11021",Hà Nội,Hà Nội,"Nhà hàng Nam Phương là nhà hàng tại Hà Nội, Hà Nội.",Nhà hàng Nam Phương Ẩm thực nhà hàng Hà Nội Hà Nội
HN_00008,Nha Hang Little Italian,Ẩm thực,nhà hàng,21.0169539,105.852831,"Mua Bán Sách Báo Thanh Hà, 56B Phố Ngô Thì Nhậm, Ngô Thì Nhậm, Hai Bà Trưng, Hà Nội, 11612",Hà Nội,Hà Nội,"Nha Hang Little Italian là nhà hàng tại Hà Nội, Hà Nội.",Nha Hang Little Italian Ẩm thực nhà hàng Hà Nội Hà Nội
HN_00009,Nha Hang Indochine,Ẩm thực,nhà hàng,21.0265868,105.8430053,"Shop Máy Loa Mic Trợ Giảng Trợ Thính Audio 1986, Phố Nam Ngư, Cửa Nam, Hoàn Kiếm, Hà Nội, 11018",Hà Nội,Hà Nội,"Nha Hang Indochine là nhà hàng tại Hà Nội, Hà Nội.",Nha Hang Indochine Ẩm thực nhà hàng Hà Nội Hà Nội
HN_00010,Khách Sạn Prince,Du lịch,khách sạn,21.0273109,105.8435309,"Cocolico Boutique, 92D Phố Hai Bà Trưng, Cửa Nam, Hoàn Kiếm, Hà Nội, 11018",Hà Nội,Hà Nội,"Khách Sạn Prince là khách sạn tại Hà Nội, Hà Nội.",Khách Sạn Prince Du lịch khách sạn Hà Nội Hà Nội
