id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
TN_00001,Cafe Bờ Kè,Ẩm thực,quán cà phê,10.5414354,106.4130991,"Nhà Khách, Đường Phan Văn Đạt, Phường 1, Tân An, Long An, 82106",Tân An,Tây Ninh,"Cafe Bờ Kè là quán cà phê tại Tân An, Tây Ninh.",Cafe Bờ Kè Ẩm thực quán cà phê Tân An Tây Ninh
TN_00002,Hủ Tiếu Phở Chay,Ẩm thực,quán thức ăn nhanh,10.5339089,106.4123085,"Đường Nguyễn An Ninh, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Hủ Tiếu Phở Chay là quán thức ăn nhanh tại Tân An, Tây Ninh.",Hủ Tiếu Phở Chay Ẩm thực quán thức ăn nhanh Tân An Tây Ninh
TN_00003,Lẩu Gà 458,Ẩm thực,quán thức ăn nhanh,10.5448957,106.3882272,"Tạp Hóa Phương Anh, 468 Đường Quốc Lộ 62, Phường 6, Tân An, Long An, 82110",Tân An,Tây Ninh,"Lẩu Gà 458 là quán thức ăn nhanh tại Tân An, Tây Ninh.",Lẩu Gà 458 Ẩm thực quán thức ăn nhanh Tân An Tây Ninh
TN_00004,Quán Cà Phê Kem,Ẩm thực,quán cà phê,10.5318969,106.4236516,"Đường Nguyễn Thông, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Quán Cà Phê Kem là quán cà phê tại Tân An, Tây Ninh.",Quán Cà Phê Kem Ẩm thực quán cà phê Tân An Tây Ninh
TN_00005,Quán Ăn Sân Vườn Đại Nam Phát,Ẩm thực,khu ẩm thực,10.5307089,106.4295424,"276 Đường Nguyễn Thông, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Quán Ăn Sân Vườn Đại Nam Phát là khu ẩm thực tại Tân An, Tây Ninh.",Quán Ăn Sân Vườn Đại Nam Phát Ẩm thực khu ẩm thực Tân An Tây Ninh
TN_00006,Cơm Dương Châu,Ẩm thực,khu ẩm thực,10.5372703,106.4169109,"Đại Lý Bưu Điện 37, 158 Đường Thủ Khoa Huân, Phường 1, Tân An, Long An, 82106",Tân An,Tây Ninh,"Cơm Dương Châu là khu ẩm thực tại Tân An, Tây Ninh.",Cơm Dương Châu Ẩm thực khu ẩm thực Tân An Tây Ninh
TN_00007,Massage Đại Ngọc Xông Hơi Xoa Bóp,Du lịch,khách sạn,10.5446799,106.3899219,"Café Windows 2007, 438 Đường Quốc Lộ 62, Phường 6, Tân An, Long An, 82110",Tân An,Tây Ninh,"Massage Đại Ngọc Xông Hơi Xoa Bóp là khách sạn tại Tân An, Tây Ninh.",Massage Đại Ngọc Xông Hơi Xoa Bóp Du lịch khách sạn Tân An Tây Ninh
TN_00008,Hủ Tiếu Chay Phước Lộc,Ẩm thực,quán thức ăn nhanh,10.5422533,106.4039831,"Quốc Lộ 62, Phường 2, Tân An, Long An, 82111",Tân An,Tây Ninh,"Hủ Tiếu Chay Phước Lộc là quán thức ăn nhanh tại Tân An, Tây Ninh.",Hủ Tiếu Chay Phước Lộc Ẩm thực quán thức ăn nhanh Tân An Tây Ninh
TN_00009,Quán Ăn Phở Bò Tái Viên,Ẩm thực,khu ẩm thực,10.5313373,106.4209662,"Nhà Sách Thúy Liễu, 95 Đường Huỳnh Văn Đảnh, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Quán Ăn Phở Bò Tái Viên là khu ẩm thực tại Tân An, Tây Ninh.",Quán Ăn Phở Bò Tái Viên Ẩm thực khu ẩm thực Tân An Tây Ninh
TN_00010,Cafe Tuấn,Ẩm thực,quán cà phê,10.5294555,106.4175361,"62 Đường Huỳnh Văn Tạo, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Cafe Tuấn là quán cà phê tại Tân An, Tây Ninh.",Cafe Tuấn Ẩm thực quán cà phê Tân An Tây Ninh
TN_00011,Nhà Trọ Xóm Vườn,Du lịch,nhà khách/homestay,10.53119,106.4273784,"Đường Nguyễn Thông, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Nhà Trọ Xóm Vườn là nhà khách/homestay tại Tân An, Tây Ninh.",Nhà Trọ Xóm Vườn Du lịch nhà khách/homestay Tân An Tây Ninh
TN_00012,Cà Phê Sân Vườn Bin Bin,Ẩm thực,quán cà phê,10.5329108,106.4246871,"88 Đường Trần Văn Nam, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Cà Phê Sân Vườn Bin Bin là quán cà phê tại Tân An, Tây Ninh.",Cà Phê Sân Vườn Bin Bin Ẩm thực quán cà phê Tân An Tây Ninh
TN_00013,Quán Cà Phê Giải Khát Chín Long,Ẩm thực,quán cà phê,10.516566,106.4604045,"Đường Nguyễn Thông, Bình Quới, Châu Thành, Long An, 82212",Châu Thành,Tây Ninh,"Quán Cà Phê Giải Khát Chín Long là quán cà phê tại Châu Thành, Tây Ninh.",Quán Cà Phê Giải Khát Chín Long Ẩm thực quán cà phê Châu Thành Tây Ninh
TN_00014,Hủ Tiếu Bánh Canh Hoành Thánh,Ẩm thực,quán thức ăn nhanh,10.5320957,106.4226386,"Lớp Mẫu Giáo Sao Việt, 165 Đường Nguyễn Thông, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Hủ Tiếu Bánh Canh Hoành Thánh là quán thức ăn nhanh tại Tân An, Tây Ninh.",Hủ Tiếu Bánh Canh Hoành Thánh Ẩm thực quán thức ăn nhanh Tân An Tây Ninh
TN_00015,Cafe Kem Trường Thịnh,Ẩm thực,quán cà phê,10.530809,106.4279331,"248 Đường Nguyễn Thông, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Cafe Kem Trường Thịnh là quán cà phê tại Tân An, Tây Ninh.",Cafe Kem Trường Thịnh Ẩm thực quán cà phê Tân An Tây Ninh
TN_00016,Quán Thịt Cầy,Ẩm thực,khu ẩm thực,10.5150032,106.4621615,"Đường Nguyễn Thông, Bình Quới, Châu Thành, Long An, 82212",Châu Thành,Tây Ninh,"Quán Thịt Cầy là khu ẩm thực tại Châu Thành, Tây Ninh.",Quán Thịt Cầy Ẩm thực khu ẩm thực Châu Thành Tây Ninh
TN_00017,Nhà Nghỉ Như Ý,Du lịch,nhà khách/homestay,10.5449924,106.3874232,"Cửa Hàng Thuốc Thú Y Kim Vân, Đường Quốc Lộ 62, Phường 6, Tân An, Long An, 82110",Tân An,Tây Ninh,"Nhà Nghỉ Như Ý là nhà khách/homestay tại Tân An, Tây Ninh.",Nhà Nghỉ Như Ý Du lịch nhà khách/homestay Tân An Tây Ninh
TN_00018,Quán Kì Viên,Ẩm thực,khu ẩm thực,10.5439923,106.3951104,"2 Đường Nguyễn Thị Bảy, Phường 6, Tân An, Long An, 82110",Tân An,Tây Ninh,"Quán Kì Viên là khu ẩm thực tại Tân An, Tây Ninh.",Quán Kì Viên Ẩm thực khu ẩm thực Tân An Tây Ninh
TN_00019,Quán Cà Phê Không Tên,Ẩm thực,quán cà phê,10.5299816,106.4237727,"Đường Nguyễn Minh Trường, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Quán Cà Phê Không Tên là quán cà phê tại Tân An, Tây Ninh.",Quán Cà Phê Không Tên Ẩm thực quán cà phê Tân An Tây Ninh
TN_00020,Cafe Trung Nguyên,Ẩm thực,quán cà phê,10.5089033,106.4662183,"Tỉnh Lộ 827, Bình Quới, Châu Thành, Long An, 82212",Châu Thành,Tây Ninh,"Cafe Trung Nguyên là quán cà phê tại Châu Thành, Tây Ninh.",Cafe Trung Nguyên Ẩm thực quán cà phê Châu Thành Tây Ninh
TN_00021,Quán Tiến Do,Ẩm thực,quán thức ăn nhanh,10.5384798,106.4195544,"Đường Nguyễn Thái Bình, Phường 1, Tân An, Long An, 82106",Tân An,Tây Ninh,"Quán Tiến Do là quán thức ăn nhanh tại Tân An, Tây Ninh.",Quán Tiến Do Ẩm thực quán thức ăn nhanh Tân An Tây Ninh
TN_00022,Mỹ Hương,Ẩm thực,quán cà phê,10.5452797,106.3943656,"Đường Nguyễn Thị Bảy, Phường 6, Tân An, Long An, 82110",Tân An,Tây Ninh,"Mỹ Hương là quán cà phê tại Tân An, Tây Ninh.",Mỹ Hương Ẩm thực quán cà phê Tân An Tây Ninh
TN_00023,Quán Cà Phê Chi Hội Cá Cảnh,Ẩm thực,quán cà phê,10.5279167,106.4228094,"Đường Nguyễn Minh Trường, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Quán Cà Phê Chi Hội Cá Cảnh là quán cà phê tại Tân An, Tây Ninh.",Quán Cà Phê Chi Hội Cá Cảnh Ẩm thực quán cà phê Tân An Tây Ninh
TN_00024,Cafe Ao Quang,Ẩm thực,quán cà phê,10.5377626,106.4177485,"Trường Mầm Non 1-6, 83 Đường Thủ Khoa Huân, Phường 1, Tân An, Long An, 82106",Tân An,Tây Ninh,"Cafe Ao Quang là quán cà phê tại Tân An, Tây Ninh.",Cafe Ao Quang Ẩm thực quán cà phê Tân An Tây Ninh
TN_00025,Zorok bia quán nhậu,Ẩm thực,quán bar,10.5405201,106.4079012,"Cửa Hàng Điện Cơ Số 5 Minh Hiền, 15 Đường Quốc Lộ 62, Phường 2, Tân An, Long An, 82111",Tân An,Tây Ninh,"Zorok bia quán nhậu là quán bar tại Tân An, Tây Ninh.",Zorok bia quán nhậu Ẩm thực quán bar Tân An Tây Ninh
TN_00026,Bánh Hỏi Heo Quay Tám An,Ẩm thực,khu ẩm thực,10.5374994,106.4147561,"Đại Lý Vé Số Năm Danh, 76 Đường Cách Mạng Tháng Tám, Phường 1, Tân An, Long An, 82106",Tân An,Tây Ninh,"Bánh Hỏi Heo Quay Tám An là khu ẩm thực tại Tân An, Tây Ninh.",Bánh Hỏi Heo Quay Tám An Ẩm thực khu ẩm thực Tân An Tây Ninh
TN_00027,Phở Bắc,Ẩm thực,quán thức ăn nhanh,10.5441732,106.3950086,"Đường Nguyễn Thị Bảy, Phường 6, Tân An, Long An, 82110",Tân An,Tây Ninh,"Phở Bắc là quán thức ăn nhanh tại Tân An, Tây Ninh.",Phở Bắc Ẩm thực quán thức ăn nhanh Tân An Tây Ninh
TN_00028,Quán Ăn Như Quỳnh,Ẩm thực,khu ẩm thực,10.5288751,106.4232295,"Đường Nguyễn Minh Trường, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Quán Ăn Như Quỳnh là khu ẩm thực tại Tân An, Tây Ninh.",Quán Ăn Như Quỳnh Ẩm thực khu ẩm thực Tân An Tây Ninh
TN_00029,Nhà Trọ Hồng Thủy,Du lịch,nhà khách/homestay,10.5449082,106.3872698,"Garage Hữu Nhân, 261 Đường Quốc Lộ 62, Phường 6, Tân An, Long An, 82110",Tân An,Tây Ninh,"Nhà Trọ Hồng Thủy là nhà khách/homestay tại Tân An, Tây Ninh.",Nhà Trọ Hồng Thủy Du lịch nhà khách/homestay Tân An Tây Ninh
TN_00030,Cafe Asean,Ẩm thực,quán cà phê,10.5303844,106.4150183,"120 Đường Huỳnh Văn Tạo, Phường 3, Tân An, Long An, 82118",Tân An,Tây Ninh,"Cafe Asean là quán cà phê tại Tân An, Tây Ninh.",Cafe Asean Ẩm thực quán cà phê Tân An Tây Ninh
