id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
H_00001,Hue Backpackers,Du lịch,nhà khách/homestay,16.469621,107.5941586,"Café Shop, Đường Phạm Ngũ Lão, Huế, Thừa Thiên Huế, 49118",Huế,Hue Backpackers là nhà khách/homestay tại Huế.,Hue Backpackers Du lịch nhà khách/homestay Huế Huế
H_00002,Hong Thien 2 hotel,Du lịch,khách sạn,16.4691326,107.5960838,"Ủy Ban Nhân Dân Tỉnh Thừa Thiên Huế - Nhà Xuất Bản Thuận Hóa, 33 Đường Chu Văn An, Huế, Thừa Thiên Huế, 49118",Huế,Hong Thien 2 hotel là khách sạn tại Huế.,Hong Thien 2 hotel Du lịch khách sạn Huế Huế
H_00003,Tran Ly,Du lịch,khách sạn,16.4704922,107.5945042,"Cửa Hàng Phúc Thái, 74 Đường Lê Lợi, Huế, Thừa Thiên Huế, 49118",Huế,Tran Ly là khách sạn tại Huế.,Tran Ly Du lịch khách sạn Huế Huế
H_00004,Pilgrimage Village,Du lịch,khách sạn,16.4250786,107.5794609,"Nhà Nghỉ 128 Cầu Lim, Thủy Xuân, Huế, Thừa Thiên Huế",Huế,Pilgrimage Village là khách sạn tại Huế.,Pilgrimage Village Du lịch khách sạn Huế Huế
H_00005,Nha Hang CUNG DING Restaurant,Ẩm thực,nhà hàng,16.4839438,107.603723,"Kiệt 85 Tùng Thiện Vương, Phú Thượng, Phú Vang, Thừa Thiên Huế, 49921",Phú Vang,Nha Hang CUNG DING Restaurant là nhà hàng tại Phú Vang.,Nha Hang CUNG DING Restaurant Ẩm thực nhà hàng Phú Vang Huế
H_00006,Thái Sơn,Du lịch,khách sạn,16.4616919,107.600457,"21 Kiệt 205 Bà Triệu, Xuân Phú, Huế, Thừa Thiên Huế, 49106",Huế,Thái Sơn là khách sạn tại Huế.,Thái Sơn Du lịch khách sạn Huế Huế
H_00007,Đèo Hải Vân,Du lịch,địa điểm du lịch,16.1874495,108.1307217,"Đỉnh Đèo Hải Vân, Đường Nguyễn Văn Cừ, Hòa Hiệp Bắc, Liên Chiểu, Đà Nẵng, 50610",Đà Nẵng,Đèo Hải Vân là địa điểm du lịch tại Đà Nẵng.,Đèo Hải Vân Du lịch địa điểm du lịch Đà Nẵng Huế
H_00008,Club Garden,Ẩm thực,nhà hàng,16.4691737,107.5958505,"Khách Sạn Ngọc Hưng, Huế, Thừa Thiên Huế",Huế,Club Garden là nhà hàng tại Huế.,Club Garden Ẩm thực nhà hàng Huế Huế
H_00009,Gold 2 Hotel,Du lịch,khách sạn,16.4647734,107.593624,"Trung Tâm Bảo Hành LG, Huế, Thừa Thiên Huế, 49118",Huế,Gold 2 Hotel là khách sạn tại Huế.,Gold 2 Hotel Du lịch khách sạn Huế Huế
H_00010,Chợ,Du lịch,chợ truyền thống,16.4616905,107.5900942,"Cửa Hàng Thanh Lực, 19 Đường Nguyễn Văn Cừ, Vĩnh Ninh, Huế, Thừa Thiên Huế, 49120",Huế,Chợ là chợ truyền thống tại Huế.,Chợ Du lịch chợ truyền thống Huế Huế
H_00011,Quan So 1,Ẩm thực,nhà hàng,16.4580449,107.5808365,"Đường Điện Biên Phủ, Vĩnh Ninh, Huế, Thừa Thiên Huế, 49120",Huế,Quan So 1 là nhà hàng tại Huế.,Quan So 1 Ẩm thực nhà hàng Huế Huế
H_00012,Nha Hang Queen,Ẩm thực,nhà hàng,16.4690321,107.5954277,"Brothers Restaurant, 31B Đường Võ Thị Sáu, Huế, Thừa Thiên Huế",Huế,Nha Hang Queen là nhà hàng tại Huế.,Nha Hang Queen Ẩm thực nhà hàng Huế Huế
H_00013,A Lầu - Dzách Lầu,Ẩm thực,nhà hàng,16.4655821,107.5947465,"John Henry, Đường Bến Nghé, Huế, Thừa Thiên Huế, 49118",Huế,A Lầu - Dzách Lầu là nhà hàng tại Huế.,A Lầu - Dzách Lầu Ẩm thực nhà hàng Huế Huế
H_00014,Camellia,Du lịch,khách sạn,16.4652432,107.5949681,"Camellia Hue Hotel, Huế, Thừa Thiên Huế",Huế,Camellia là khách sạn tại Huế.,Camellia Du lịch khách sạn Huế Huế
H_00015,Casablanca's Cafe,Ẩm thực,quán cà phê,16.4643979,107.5920373,"Trường Đại Học Phú Xuân, Phú Nhuận, Huế, Thừa Thiên Huế",Huế,Casablanca's Cafe là quán cà phê tại Huế.,Casablanca's Cafe Ẩm thực quán cà phê Huế Huế
H_00016,Lang Co Beach Resort,Du lịch,khách sạn,16.2464007,108.0767222,"Lăng Cô, Phú Lộc, Thừa Thiên Huế",Phú Lộc,Lang Co Beach Resort là khách sạn tại Phú Lộc.,Lang Co Beach Resort Du lịch khách sạn Phú Lộc Huế
H_00017,Sao Bien Restaurant,Ẩm thực,nhà hàng,16.2279312,108.0827143,"Đường Lạc Long Quân, Lăng Cô, Phú Lộc, Thừa Thiên Huế, 49823",Phú Lộc,Sao Bien Restaurant là nhà hàng tại Phú Lộc.,Sao Bien Restaurant Ẩm thực nhà hàng Phú Lộc Huế
