id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
TN_00001,Dai Duong Hotel,Du lịch,khách sạn,21.5894227,105.8288648,"Khách Sạn Mai Đan, Đường Vào Trường Lương Ngọc Quyến, Hoàng Văn Thụ, Thái Nguyên, 24116",Thái Nguyên,Dai Duong Hotel là khách sạn tại Thái Nguyên.,Dai Duong Hotel Du lịch khách sạn Thái Nguyên Thái Nguyên
TN_00002,Đạt Diễm,Du lịch,nhà khách/homestay,22.3898172,105.6350921,"Tỉnh Lộ 254, Nam Mẫu, Ba Bể, Bắc Kạn, 23511",Ba Bể,Đạt Diễm là nhà khách/homestay tại Ba Bể.,Đạt Diễm Du lịch nhà khách/homestay Ba Bể Thái Nguyên
TN_00003,Ci house coffee,Ẩm thực,quán cà phê,21.5726319,105.8231103,"56 Đường Phú Thái, Tân Thịnh, Thái Nguyên, 24118",Thái Nguyên,Ci house coffee là quán cà phê tại Thái Nguyên.,Ci house coffee Ẩm thực quán cà phê Thái Nguyên Thái Nguyên
TN_00004,Truong Son Quan,Ẩm thực,nhà hàng,21.9468377,105.6368425,"Cafe Trường Sơn Quán, Đường Tỉnh Lộ 268, Kim Phượng, Định Hóa, Thái Nguyên, 24513",Định Hóa,Truong Son Quan là nhà hàng tại Định Hóa.,Truong Son Quan Ẩm thực nhà hàng Định Hóa Thái Nguyên
TN_00005,kế ngon quấn,Ẩm thực,nhà hàng,21.5899751,105.8307364,"ATM - Agribank, 138 Đường Hoàng Văn Thụ, Hoàng Văn Thụ, Thái Nguyên, 24116",Thái Nguyên,kế ngon quấn là nhà hàng tại Thái Nguyên.,kế ngon quấn Ẩm thực nhà hàng Thái Nguyên Thái Nguyên
TN_00006,nhà nghỉ huy phong,Du lịch,nhà nghỉ,21.6000864,105.8269531,"2A Ngõ 238 Bắc Kạn, Hoàng Văn Thụ, Thái Nguyên, 24116",Thái Nguyên,nhà nghỉ huy phong là nhà nghỉ tại Thái Nguyên.,nhà nghỉ huy phong Du lịch nhà nghỉ Thái Nguyên Thái Nguyên
TN_00007,Nha Nghi Hoang Chuyen Homestay,Du lịch,nhà khách/homestay,22.388607,105.6383904,"Tỉnh Lộ 254, Nam Mẫu, Ba Bể, Bắc Kạn, 23511",Ba Bể,Nha Nghi Hoang Chuyen Homestay là nhà khách/homestay tại Ba Bể.,Nha Nghi Hoang Chuyen Homestay Du lịch nhà khách/homestay Ba Bể Thái Nguyên
TN_00008,Green Hotel,Du lịch,khách sạn,22.1445037,105.8338459,"Đường Phùng Chí Kiên, Đức Xuân, Bắc Kạn, 23107",Bắc Kạn,Green Hotel là khách sạn tại Bắc Kạn.,Green Hotel Du lịch khách sạn Bắc Kạn Thái Nguyên
TN_00009,Mai Cau II,Du lịch,khách sạn,21.5784992,105.8362429,"216 Đường Thống Nhất, Gia Sàng, Thái Nguyên, 24127",Thái Nguyên,Mai Cau II là khách sạn tại Thái Nguyên.,Mai Cau II Du lịch khách sạn Thái Nguyên Thái Nguyên
TN_00010,Nhà nghỉ Huyen Hao,Du lịch,nhà khách/homestay,22.3891807,105.6365122,"Tỉnh Lộ 254, Nam Mẫu, Ba Bể, Bắc Kạn, 23511",Ba Bể,Nhà nghỉ Huyen Hao là nhà khách/homestay tại Ba Bể.,Nhà nghỉ Huyen Hao Du lịch nhà khách/homestay Ba Bể Thái Nguyên
