id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
HT_00001,Bach Dai Dong,Du lịch,khách sạn,18.5085969,105.4237962,"Quốc Lộ 8, Phố Châu, Hương Sơn, Hà Tĩnh, 45806",Hương Sơn,Hà Tĩnh,"Bach Dai Dong là khách sạn tại Hương Sơn, Hà Tĩnh.",Bach Dai Dong Du lịch khách sạn Hương Sơn Hà Tĩnh
HT_00002,Backpackers  Hotel,Du lịch,khách sạn,18.5066359,105.4244142,"Phố Châu, Hương Sơn, Hà Tĩnh",Hương Sơn,Hà Tĩnh,"Backpackers  Hotel là khách sạn tại Hương Sơn, Hà Tĩnh.",Backpackers  Hotel Du lịch khách sạn Hương Sơn Hà Tĩnh
HT_00003,Khách sạn Ngàn Phố,Du lịch,khách sạn,18.5091285,105.4242855,"Quốc Lộ 8, Phố Châu, Hương Sơn, Hà Tĩnh, 45806",Hương Sơn,Hà Tĩnh,"Khách sạn Ngàn Phố là khách sạn tại Hương Sơn, Hà Tĩnh.",Khách sạn Ngàn Phố Du lịch khách sạn Hương Sơn Hà Tĩnh
HT_00004,Vu Quang,Du lịch,khách sạn,18.3823458,105.4977136,"Đường Hồ Chí Minh, Vũ Quang, Hà Tĩnh, 45906",Vũ Quang,Hà Tĩnh,"Vu Quang là khách sạn tại Vũ Quang, Hà Tĩnh.",Vu Quang Du lịch khách sạn Vũ Quang Hà Tĩnh
HT_00005,Vu Quang Hotel,Du lịch,khách sạn,18.3804113,105.4980784,"Vũ Quang, Hà Tĩnh",Vũ Quang,Hà Tĩnh,"Vu Quang Hotel là khách sạn tại Vũ Quang, Hà Tĩnh.",Vu Quang Hotel Du lịch khách sạn Vũ Quang Hà Tĩnh
HT_00006,Duc Tai Hotel,Du lịch,khách sạn,18.1814015,105.6948989,"Đường HCM, Hương Khê, Hà Tĩnh, 46006",Hương Khê,Hà Tĩnh,"Duc Tai Hotel là khách sạn tại Hương Khê, Hà Tĩnh.",Duc Tai Hotel Du lịch khách sạn Hương Khê Hà Tĩnh
HT_00007,Nhà Nghỉ Kiều Anh,Du lịch,khách sạn,18.1720349,105.7065185,"Hương Khê, Hà Tĩnh",Hương Khê,Hà Tĩnh,"Nhà Nghỉ Kiều Anh là khách sạn tại Hương Khê, Hà Tĩnh.",Nhà Nghỉ Kiều Anh Du lịch khách sạn Hương Khê Hà Tĩnh
HT_00008,Caf,Ẩm thực,quán cà phê,18.3410989,105.9006452,"Nhà May Đức Thắm, 34 Đường Nguyễn Huy Tự, Bắc Hà, Hà Tĩnh, 45115",Hà Tĩnh,Hà Tĩnh,"Caf là quán cà phê tại Hà Tĩnh, Hà Tĩnh.",Caf Ẩm thực quán cà phê Hà Tĩnh Hà Tĩnh
HT_00009,Nha hang Huyen duc Am thuc Paradise,Ẩm thực,nhà hàng,18.3402307,105.8832388,"Văn Hóa Ẩm Thực Paradise, Đường Vũ Quang, Thạch Linh, Hà Tĩnh, 45117",Hà Tĩnh,Hà Tĩnh,"Nha hang Huyen duc Am thuc Paradise là nhà hàng tại Hà Tĩnh, Hà Tĩnh.",Nha hang Huyen duc Am thuc Paradise Ẩm thực nhà hàng Hà Tĩnh Hà Tĩnh
HT_00010,Huong Tra,Ẩm thực,nhà hàng,18.1462706,105.7217489,"Đường Hồ Chí Minh, Hương Trà, Hương Khê, Hà Tĩnh, 46023",Hương Khê,Hà Tĩnh,"Huong Tra là nhà hàng tại Hương Khê, Hà Tĩnh.",Huong Tra Ẩm thực nhà hàng Hương Khê Hà Tĩnh
