id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
LD_00001,Phuong Trang,Ẩm thực,nhà hàng,10.8427628,107.8183283,"Trạm Dừng Phương Trang, Tân Lập, Hàm Thuận Nam, Bình Thuận",Hàm Thuận Nam,Lâm Đồng,"Phuong Trang là nhà hàng tại Hàm Thuận Nam, Lâm Đồng.",Phuong Trang Ẩm thực nhà hàng Hàm Thuận Nam Lâm Đồng
LD_00002,Hoa Vien Brauhaus,Ẩm thực,quán pub,10.9370109,108.1888049,"Đường Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận, 77117",Phan Thiết,Lâm Đồng,"Hoa Vien Brauhaus là quán pub tại Phan Thiết, Lâm Đồng.",Hoa Vien Brauhaus Ẩm thực quán pub Phan Thiết Lâm Đồng
LD_00003,White Dunes,Du lịch,địa điểm du lịch,11.0678842,108.4273029,"Hòa Thắng, Bắc Bình, Bình Thuận",Bắc Bình,Lâm Đồng,"White Dunes là địa điểm du lịch tại Bắc Bình, Lâm Đồng.",White Dunes Du lịch địa điểm du lịch Bắc Bình Lâm Đồng
LD_00004,Mi Vinh Loi,Ẩm thực,nhà hàng,11.9412839,108.4316096,"Quán Phở Ngọc Hiệp, Đường Ba Tháng Hai, Phường 5, Đà Lạt, Lâm Đồng, 66113",Đà Lạt,Lâm Đồng,"Mi Vinh Loi là nhà hàng tại Đà Lạt, Lâm Đồng.",Mi Vinh Loi Ẩm thực nhà hàng Đà Lạt Lâm Đồng
LD_00005,Binh Yen,Du lịch,khách sạn,11.9438631,108.4304185,"53 Đường Hải Thượng, Phường 5, Đà Lạt, Lâm Đồng, 66108",Đà Lạt,Lâm Đồng,"Binh Yen là khách sạn tại Đà Lạt, Lâm Đồng.",Binh Yen Du lịch khách sạn Đà Lạt Lâm Đồng
LD_00006,Princess D'Annam,Du lịch,khách sạn,10.7084884,107.9798789,"Tân Thành, Hàm Thuận Nam, Bình Thuận",Hàm Thuận Nam,Lâm Đồng,"Princess D'Annam là khách sạn tại Hàm Thuận Nam, Lâm Đồng.",Princess D'Annam Du lịch khách sạn Hàm Thuận Nam Lâm Đồng
LD_00007,Trọng Tâm,Ẩm thực,nhà hàng,10.7038728,107.987087,"Đường Tỉnh Lộ 719, Tân Thành, Hàm Thuận Nam, Bình Thuận, 77718",Hàm Thuận Nam,Lâm Đồng,"Trọng Tâm là nhà hàng tại Hàm Thuận Nam, Lâm Đồng.",Trọng Tâm Ẩm thực nhà hàng Hàm Thuận Nam Lâm Đồng
LD_00008,Peaceful Resort,Du lịch,khách sạn,10.7173085,108.0013962,"Đường Tỉnh Lộ 719, Tân Thành, Hàm Thuận Nam, Bình Thuận, 77718",Hàm Thuận Nam,Lâm Đồng,"Peaceful Resort là khách sạn tại Hàm Thuận Nam, Lâm Đồng.",Peaceful Resort Du lịch khách sạn Hàm Thuận Nam Lâm Đồng
LD_00009,Hoa Sứ,Ẩm thực,nhà hàng,10.7179765,108.0001589,"Tân Thành, Hàm Thuận Nam, Bình Thuận",Hàm Thuận Nam,Lâm Đồng,"Hoa Sứ là nhà hàng tại Hàm Thuận Nam, Lâm Đồng.",Hoa Sứ Ẩm thực nhà hàng Hàm Thuận Nam Lâm Đồng
LD_00010,Sand Dune Hotel,Du lịch,khách sạn,10.9511155,108.2097969,"Thảo Hà Hotel, 115 Đường Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận, 77117",Phan Thiết,Lâm Đồng,"Sand Dune Hotel là khách sạn tại Phan Thiết, Lâm Đồng.",Sand Dune Hotel Du lịch khách sạn Phan Thiết Lâm Đồng
