id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
DIA_LS00001,Bao Duong Guesthouse,Du lịch,homestay,22.2556223,106.4762655,"Đường Hoàng Văn Thụ, Thất Khê, Tràng Định, Lạng Sơn, 25306",TP. Lạng Sơn,Bao Duong Guesthouse là homestay tại TP. Lạng Sơn.,Bao Duong Guesthouse Du lịch homestay TP. Lạng Sơn
DIA_LS00002,Nguyen cafe,Ẩm thực,quán cà phê,21.6955666,106.9698459,"Quốc Lộ 4B, Na Dương, Lộc Bình, Lạng Sơn, 25827",TP. Lạng Sơn,Nguyen cafe là quán cà phê tại TP. Lạng Sơn.,Nguyen cafe Ẩm thực quán cà phê TP. Lạng Sơn
DIA_LS00003,Nhà hàng Quỳnh Hương,Ẩm thực,nhà hàng,22.258219,106.46832,"Nhà Nghỉ Quỳnh Hương, Đường Hoàng Văn Thụ, Thất Khê, Tràng Định, Lạng Sơn, 25306",TP. Lạng Sơn,Nhà hàng Quỳnh Hương là nhà hàng tại TP. Lạng Sơn.,Nhà hàng Quỳnh Hương Ẩm thực nhà hàng TP. Lạng Sơn
DIA_LS00004,Nha Hang Toan Ha,Ẩm thực,nhà hàng,22.2587191,106.4674908,"Đường Hoàng Văn Thụ, Thất Khê, Tràng Định, Lạng Sơn, 25306",TP. Lạng Sơn,Nha Hang Toan Ha là nhà hàng tại TP. Lạng Sơn.,Nha Hang Toan Ha Ẩm thực nhà hàng TP. Lạng Sơn
DIA_LS00005,Nhà Nghỉ Đức Hạnh,Du lịch,khách sạn,21.952879,106.6989922,"79 Đường Nguyễn Đình Lộc, Đồng Đăng, Cao Lộc, Lạng Sơn, 25164",TP. Lạng Sơn,Nhà Nghỉ Đức Hạnh là khách sạn tại TP. Lạng Sơn.,Nhà Nghỉ Đức Hạnh Du lịch khách sạn TP. Lạng Sơn
DIA_LS00006,Quỳ Hương,Du lịch,homestay,22.2582948,106.4683995,"Nhà Nghỉ Quỳnh Hương, Đường Hoàng Văn Thụ, Thất Khê, Tràng Định, Lạng Sơn, 25306",TP. Lạng Sơn,Quỳ Hương là homestay tại TP. Lạng Sơn.,Quỳ Hương Du lịch homestay TP. Lạng Sơn
DIA_LS00007,KFC,Ẩm thực,quán thức ăn nhanh,21.8542607,106.7616099,"424 Đường Bà Triệu, Hoàng Văn Thụ, Lạng Sơn, 25108",TP. Lạng Sơn,KFC là quán thức ăn nhanh tại TP. Lạng Sơn.,KFC Ẩm thực quán thức ăn nhanh TP. Lạng Sơn
DIA_LS00008,Hong anh,Du lịch,khách sạn,21.7774265,106.9070186,"Quốc Lộ 4B, Đồng Bục, Lộc Bình, Lạng Sơn, 25813",TP. Lạng Sơn,Hong anh là khách sạn tại TP. Lạng Sơn.,Hong anh Du lịch khách sạn TP. Lạng Sơn
DIA_LS00009,Moi vao,Du lịch,homestay,21.5524914,107.0932794,"Quốc Lộ 4B, Thị Trấn Đình Lập, Đình Lập, Lạng Sơn, 25906",TP. Lạng Sơn,Moi vao là homestay tại TP. Lạng Sơn.,Moi vao Du lịch homestay TP. Lạng Sơn
DIA_LS00010,Nha Nghi Ngoc Khanh,Du lịch,homestay,21.4976258,106.3513723,"QL 1, Sơn Hà, Hữu Lũng, Lạng Sơn, 25625",TP. Lạng Sơn,Nha Nghi Ngoc Khanh là homestay tại TP. Lạng Sơn.,Nha Nghi Ngoc Khanh Du lịch homestay TP. Lạng Sơn
DIA_LS00011,Quyn Anh Hotel,Du lịch,khách sạn,21.4979253,106.3518443,"Đường Tỉnh Lộ 242, Sơn Hà, Hữu Lũng, Lạng Sơn, 25625",TP. Lạng Sơn,Quyn Anh Hotel là khách sạn tại TP. Lạng Sơn.,Quyn Anh Hotel Du lịch khách sạn TP. Lạng Sơn
DIA_LS00012,Nha Nghi Thuy Lin,Du lịch,homestay,21.5758722,106.5022788,"Quốc Lộ 1, Thị Trấn Chi Lăng, Chi Lăng, Lạng Sơn, 25714",TP. Lạng Sơn,Nha Nghi Thuy Lin là homestay tại TP. Lạng Sơn.,Nha Nghi Thuy Lin Du lịch homestay TP. Lạng Sơn
DIA_LS00013,Nha Nghi Cuong Ghan,Du lịch,homestay,21.573785,106.4997355,"Quốc Lộ 1, Thị Trấn Chi Lăng, Chi Lăng, Lạng Sơn, 25714",TP. Lạng Sơn,Nha Nghi Cuong Ghan là homestay tại TP. Lạng Sơn.,Nha Nghi Cuong Ghan Du lịch homestay TP. Lạng Sơn
